ROW_ID,CGID,LABEL,DESCRIPTION
3111937,18371,MD,
16532475,14819,Reside,RN
13989204,19155,Medst,Read Only
8666471,19288,IS,
12050823,14864,SRT,Resident/Fellow/PA/NP
10427133,18290,Rehab,Dietitian
2979837,15329,Admin,Research Assistant
4846067,14001,md,
7453733,20665,Co-wkr,Pharmacist
8346749,14843,Dr,Resident/Fellow/PA/NP
7606709,21570,MD,Social Worker
7707371,16960,UA,
386808,20830,MS,PCT/NA
15585913,16980,RT,Respiratory
6515609,14127,PC,
4423234,16435,CoWork,
5112704,19293,RTSt,IMD
7253870,19976,Rehab,Respiratory
4709264,19428,PT,
4582717,19216,NSV,
14346577,21428,RD,
13943651,15807,SN,
6880852,14914,CM,Rehabilitation
9833702,19221,Admin,
8480199,17218,md,
12127160,21185,Res,PCT/NA
2447898,17127,Rehab,Resident/Fellow/PA/NP
5549658,15331,RO,Respiratory
6649666,21181,RRT,
4799381,19313,UA,PCT/NA
1280129,16197,RN Stu,
16611376,15895,RO,Resident/Fellow/PA/NP
3715011,14001,RA,Pharmacist
9535508,14001,MSIV,
5037862,17547,MD,Read Only
12396387,19314,ISOPS,
138114,17547,RPh,
6351866,19528,Res,Research Assistant
4164437,19402,PCT,Rehabilitation
16150002,18573,CM,Resident/Fellow/PA/NP
16457650,18362,RN,Respiratory
13132322,18774,RO,Respiratory
829363,16287,LS,UCO
13296509,14001,RN,
9191230,16427,CM,Case Manager
13563427,20320,PC,Read Only
11219177,18985,RNC,Pastoral Care
9737946,14001,Res,Respiratory
11094932,14849,Res,RN
4100707,21238,Res,Read Only
16210898,16769,IMD,
2429957,17849,Co-Wk,Case Manager
8730560,14255,CoOpst,Rehabilitation
10337606,16757,LICSW,PCT/NA
10038911,15318,Res,Resident/Fellow/PA/NP
6795334,14248,Res,
1117500,19735,MD,
11715020,16302,RN,Social Worker
7216298,16839,PC,Pharmacist
7015429,17752,MDs,Read Only
6612644,18233,RT,Resident/Fellow/PA/NP
8532638,14280,MD,Resident/Fellow/PA/NP
6871085,18718,RT,
3786375,17589,Res,PCT/NA
6639012,17348,1390,
14656065,18374,RPH,Case Manager
19914,18745,CM,Resident/Fellow/PA/NP
13857345,20415,PCS,Pharmacist
10170323,17536,RNStu,Respiratory
10857284,14687,SNNP,Pharmacist
2718094,18214,RO,
14555897,16080,RNs,Pastoral Care
10039238,18616,StuRN,Resident/Fellow/PA/NP
8106810,18406,RO,Read Only
9690682,16869,Res,Read Only
2981157,20191,CRT,
7966471,19248,SNP,Dietitian
14750148,20247,PC,
4316534,17119,IMD,
6492376,19123,MDs,Resident/Fellow/PA/NP
11073167,19495,PS,
8142843,15193,RPH,
9366409,17551,RT,
7759282,14771,PracSt,Respiratory
1822511,15606,Studen,Social Worker
11384979,18572,RD,
3003385,17100,RN,UCO
13066412,20704,PC,Social Worker
15771382,15182,CM,Rehabilitation
6981169,17504,StNuIV,Pharmacist
12664272,15679,PCT,RN
2229289,16845,Coordi,Attending
1335853,14717,RO,
9727027,20760,ISCS,
12558007,21206,UCO,Pharmacist
12505947,20058,RD Int,Resident/Fellow/PA/NP
16363692,19077,RRT,RN
3995330,20874,PCT,
12336014,20247,NNP,
1256885,20747,UCO,Research Assistant
12170349,20706,RD,
3294347,20634,Reside,Resident/Fellow/PA/NP
13919951,16143,RO,Respiratory
230874,19521,RN,
13389458,20204,MD,
13769288,20016,NEOB,Pharmacist
8193320,19195,RD/LDN,
2105305,15853,SW,RN
15024856,17687,Nurs,Administrator
14110295,14295,RD,Rehabilitation
3349679,14671,ISSupp,
13424176,18036,SWInt,Case Manager
3399411,18058,rts,RN
15943208,19681,St,
892315,21115,RN,Dietitian
935646,15679,MedSt.,
14520403,17170,LICSW,IMD
5477637,17806,UCO,Administrator
7929754,18061,Med ST,Respiratory
2952948,21071,RRT,
3632657,18777,dht,
2707097,20724,RT Stu,Respiratory
4393297,14964,Res,Research Assistant
7248812,21462,RN,RN
11155190,15348,PCT,Social Worker
584536,17659,DietIn,Attending
13480455,16087,RNStu,Dietitian
15741085,15211,CoWkr,UCO
7543197,16789,dht,Resident/Fellow/PA/NP
11038837,14662,Med St,
13358998,17190,RA,
2185695,20567,RD,Case Manager
4074301,20117,Rehab,
12608626,20518,MSWint,Pastoral Care
6381052,20844,RN,Respiratory
363793,15100,IMD,
16087641,20470,Res,IMD
8697227,20877,SW,Attending
218979,16170,RN,Dietitian
13568607,14384,PC,Read Only
9807277,19867,CoOpSt,Resident/Fellow/PA/NP
4474455,16661,RTStu,Respiratory
5523911,19811,MDS,
252310,14001,Ph.Stu,
358872,14512,Coopst,Administrator
13412295,20458,MD,
5112143,14742,CM,
5242080,16002,CM,Attending
9627488,20268,ISSupp,
14044387,14750,RO,
4698624,19740,CM,Read Only
1526809,17881,CM,Read Only
11821988,20664,RRT,Resident/Fellow/PA/NP
16248450,16030,CRA,RN
6224806,20286,Rehab,PCT/NA
5422764,18013,RA,
13551447,17128,RD,RN
10314369,14224,CM,
9481488,20304,MD,Attending
5976788,17950,RRT,
12623299,20527,PC,Resident/Fellow/PA/NP
16127483,20011,RES,Administrator
7293331,15525,RN,
14234818,16759,SPG,
4895062,14001,Stud,Case Manager
12715000,20894,R.Ph,Read Only
14410500,16728,PA,
15100913,14406,taf,
2292586,20379,RO,Read Only
359197,20492,ISSupp,Respiratory
8404532,18316,MedSt,Resident/Fellow/PA/NP
8991231,16873,UC,
2406495,19857,IMD,RN
10545262,20830,MDS,Read Only
5039082,16612,CM,Pharmacist
12932024,17729,Studen,Dietitian
16376764,15444,CM,
8018269,19768,RO,Read Only
15268930,20245,RA,RN
6221366,20073,RN,
11683883,20027,Res,
250671,17160,Studen,PCT/NA
2181242,20429,RN,Social Worker
5522221,20504,RD,Case Manager
10881169,17128,PC,Read Only
565321,17361,RO,Attending
9995898,20042,PCT,
307561,14001,RA,Resident/Fellow/PA/NP
6406621,20185,RT Stu,Social Worker
13428996,19247,RRT,Respiratory
11459634,16002,MD,Case Manager
187988,18757,Nurse,
11412019,17395,MD,UCO
336782,21047,Res,Resident/Fellow/PA/NP
1913474,18159,RRT,
7800507,19454,Admin,PCT/NA
7705642,17213,"MS,RD",
10837868,20615,RES,
11710502,16215,PC,Case Manager
9118289,20711,MDs,
979745,15702,RN,
13053567,20863,UA,Read Only
4306074,18540,PharmD,Read Only
2488106,14271,RN,
7814304,20596,RPH,
7609287,14001,ISSupp,IMD
8548383,19111,RPH,
2990563,20052,BSMT,Research Assistant
9694374,15997,RTS,
4274209,15376,DI,Pharmacist
10690373,14153,PC,
10153430,14001,RT,PCT/NA
9717842,20742,SRT,Read Only
8034464,20110,RN,Administrator
12930529,20400,PCA,Read Only
3426604,18557,CM,
16310635,17934,SW,Respiratory
8978971,15640,RO,UCO
3637149,15710,RNBA,Attending
305371,15048,PhStud,
14632250,14536,SW,
13191468,17296,tap,
10554223,17361,HMSIV,Pastoral Care
16078038,16258,ReAssi,RN
3534049,18855,Cowork,
11855317,14001,RNs,Read Only
8866801,19095,MD,
11563923,20458,Res,Case Manager
2914365,15532,RF,Read Only
13660838,15461,Co-wor,Read Only
9816709,16464,RO,
1094687,20896,RN,Read Only
7092741,20694,MedSt,Read Only
7799990,14295,PCT,PCT/NA
6977789,16833,SPG,Pharmacist
14351714,19409,StPh,RN
3269508,15330,RO,UCO
16283854,20608,MD,Attending
3882516,18810,Reside,
11303470,20660,Res,
3354463,19642,md,Read Only
2838511,21010,CM,Social Worker
5454701,19118,RT,Resident/Fellow/PA/NP
6696183,14713,Res,Research Assistant
10939652,17126,MDs,RN
3704707,20847,Admin,Read Only
3154070,20394,SNP,
10875197,21217,RA,Social Worker
8154189,18755,RD,UCO
7204847,17100,"MD,PhD",Rehabilitation
8692815,17009,RT,
16121025,20928,SW Int,Read Only
2333050,17883,NP,Respiratory
8457056,16843,Studen,Resident/Fellow/PA/NP
13335975,20465,RO,
3780304,21452,CM,Dietitian
6187858,14385,MD,UCO
238729,15913,MD,
10356891,16141,UA,Pastoral Care
15775093,14001,PCT,Respiratory
13331647,14387,StNurs,
10236410,18544,Res,
9791120,20702,UA,Rehabilitation
5184595,14466,NEOB,RN
7268091,20417,MDs,
6802415,20228,IMD,
3218081,19846,Rehab,Rehabilitation
2934876,20383,CM,IMD
7954420,18453,PCT,Respiratory
9037040,14002,MD,Pastoral Care
8158638,19142,Rn,
8518015,16432,Co-wkr,
5709005,14183,Intern,
1135893,20414,CM,
15763116,19202,RPH,Rehabilitation
796273,16241,Coop S,RN
8677357,16144,DI,
8034262,18751,LICSW,Respiratory
4621593,14822,HMSIV,Pastoral Care
9426963,17231,PCT,
9060894,16627,CM,
15823471,19661,Res,Resident/Fellow/PA/NP
1104965,18100,RN,
9852307,21142,RPH,
3814390,19921,DI,UCO
7619437,17818,RO,
824046,20300,R.Ph,Dietitian
14548057,17254,PhaD,Read Only
328306,14891,RN,PCT/NA
16507472,19600,MD,Read Only
11453734,19078,RO,Dietitian
7208307,15223,RPH,
9383067,16748,RRT,PCT/NA
10078169,17158,RT,
16762630,15053,RT,Pharmacist
9295268,19976,PCT,PCT/NA
15134914,18062,PC,Dietitian
7757410,15009,MSWint,RN
1204265,19806,MedRes,
12157740,21570,UA,
2149606,16133,Res,Case Manager
7973813,15917,SNP,UCO
12073001,16529,UCO,RN
11125067,16423,Co-wkr,Pastoral Care
12219353,17515,UA,
14880156,20394,RO,Resident/Fellow/PA/NP
1829872,19664,Res,PCT/NA
7219991,20684,StPHa,PCT/NA
5435482,15481,DPM,IMD
9032520,21092,UCO,
137887,16607,RO,
9730644,21181,IMD,Administrator
15117701,17311,RN,UCO
8212106,14052,PCT,
5466179,18571,CoWork,Pharmacist
13823341,21358,RPH,
3528504,17064,Res,Rehabilitation
14383783,15127,SNNP,PCT/NA
10008231,16716,SNP,
14747218,19935,Rehab,
612540,14342,STD,Resident/Fellow/PA/NP
5268378,20498,SRT,
2550861,19435,RO,Resident/Fellow/PA/NP
10612715,17058,PhaD,Respiratory
6207988,21268,CM,Pharmacist
7607073,17982,STD,Rehabilitation
7096998,18722,UCO,
875291,18793,Rehab,Resident/Fellow/PA/NP
12654615,20252,Rehab,
8352664,21007,NNP,Pastoral Care
10393604,18949,RNs,Administrator
4678975,14136,ISOPS,
555402,20961,SW,Rehabilitation
11741582,21227,MD,Resident/Fellow/PA/NP
315745,15769,CM,
16461355,17501,RO,Resident/Fellow/PA/NP
2603860,14515,PC,Pharmacist
12569221,16883,SW,Pharmacist
8415172,21121,Res,RN
11246724,18815,Nurs,PCT/NA
4029290,15015,RN,Resident/Fellow/PA/NP
3618668,19290,UCO,
9902647,18525,Studen,Resident/Fellow/PA/NP
1303269,18301,RD,
15193718,15139,CM,UCO
10186496,19684,Medst,RN
644745,17744,RN,RN
14256725,19964,SPG,Pastoral Care
4708864,19198,COOPST,
9564120,20415,RNCM,
13481079,19685,RPH,Social Worker
7188129,18563,Rehab,
13396737,15690,RNC,
14845229,20852,Rn,
15011187,14966,ISOPS,PCT/NA
16201879,18854,RO,UCO
900820,17031,CM,Read Only
8357220,21112,PH Stu,Pharmacist
4206832,18185,Res,PCT/NA
8386438,14001,IS,
8221763,21261,MD,
8179574,14001,RD,RN
4306808,16347,RT,Read Only
12966690,20511,rn,Read Only
5245927,18405,RHP,Read Only
11952111,20853,RO,Read Only
12029424,19806,NEOB,Pharmacist
7002342,19636,Co-wkr,Resident/Fellow/PA/NP
7843770,18261,MD,
12947247,20710,ISOPS,
7109715,20073,PC,Case Manager
10012419,20297,MD,
6664061,17057,RRT,PCT/NA
15616631,20767,na,
10142585,21159,RPH,Social Worker
16398995,20322,PC,RN
1770582,14682,Res,Attending
11582035,17615,MedSty,Resident/Fellow/PA/NP
15945115,20328,IMD,
4958565,15816,RO,
1186409,19484,Dr,
6527883,21486,MedStu,
11866765,14001,StPh,Respiratory
1352302,20597,PC,Dietitian
4762612,19990,RA,Pastoral Care
5505657,18816,RT,Read Only
10771814,16567,RD,
15014872,20711,NP,
6322722,17939,StNuIV,Attending
11468827,17576,"MD,PhD",Case Manager
15734111,20728,MD,UCO
1965006,16748,UA,Resident/Fellow/PA/NP
2228527,20698,Rehab,Read Only
14344990,20719,Rehab,Resident/Fellow/PA/NP
3187824,15325,CM,Dietitian
13573709,18362,PHaD,Respiratory
1558389,20372,RPH,
12911171,18684,ISOPS,
5362243,16659,CM,Read Only
13438075,17211,PCT,
1280669,19035,RTStu,Pharmacist
12563074,20593,Rehab,
7700931,20764,SW,
1145386,14573,PhStud,IMD
6364781,16233,RA,Social Worker
15405294,14001,RN,Dietitian
12100651,20470,RPH,Resident/Fellow/PA/NP
11257576,21026,RTStu,Social Worker
16085549,18511,RN,
8951991,20977,md,Read Only
11131476,15562,IMD,Social Worker
2031788,16619,RO,
2822934,20845,RO,Resident/Fellow/PA/NP
7614832,14908,CoOpst,
2994725,16306,Rehab,
175714,19245,MDs,
6127345,20826,CM,Read Only
3690278,19395,CoWker,RN
15380717,20848,PCT,
3554300,16615,PC,
4801841,16105,,Resident/Fellow/PA/NP
13984265,21503,MedStu,
7737581,14442,OTR/L,
2909251,18680,RNC,
9364192,18038,ReAssi,Read Only
8777509,16778,Rehab,Read Only
612918,16764,RNC,
2204589,20947,MS,
15358694,19959,RT,UCO
8185881,20374,RO,
4570341,19292,RO,Rehabilitation
517560,14691,RT,Read Only
765153,15143,RO,Read Only
4540869,15598,Admin,PCT/NA
10335199,16099,MDs,
14005904,20909,Stu,UCO
2633417,14537,PC,RN
35397,20055,MD,Social Worker
16094278,19516,St,
7484907,14276,Res,Case Manager
10052790,19272,SW,Resident/Fellow/PA/NP
5161043,20415,DML,
9463882,14722,Std,PCT/NA
7594827,15171,St,Pharmacist
8284199,16885,RPH,Pharmacist
11418424,20275,RN,Administrator
15320985,20309,PCT,
15989900,17955,MedSt,
15038525,16812,RN,RN
12582952,21460,MD,Social Worker
15424516,15657,Rehab,Social Worker
2413337,18190,RPh,Read Only
12792314,17872,SW,Attending
15368426,20580,RRT,
13893859,18438,Co-Wkr,Social Worker
656421,14984,R.Ph,PCT/NA
9375722,18851,CoWker,
6978221,20818,SNP,
8869848,17410,LPN,Read Only
1241015,20250,Co-Wor,PCT/NA
606959,19616,Res,Resident/Fellow/PA/NP
8699397,17555,Res,Social Worker
4539830,16401,HMSIV,Attending
7854128,21377,SW,Rehabilitation
6401298,16408,RPH,Read Only
7044877,15512,MD,Respiratory
7587687,18111,RRT,
15322679,17471,Stn MD,Dietitian
2561008,20969,RPH,Read Only
3795079,20185,PC,
5876790,20677,RT,
75135,18796,RN,
11703384,14090,Res,Attending
4416765,14366,UCO,Respiratory
16227874,14779,RO,
11811081,20039,RRT,
1129202,20475,eaw,Read Only
4660370,18216,MTASCP,
13592743,18026,ReschA,
1155431,14906,UCO,
8163771,20118,StPHa,
8823617,15758,IMD,
12374193,16115,SRT,Pharmacist
8455192,20252,RO,Read Only
899615,17012,CoWker,
6073968,16356,SW,UCO
5361528,14029,RD,RN
698144,20903,Co-Wor,Case Manager
2014023,16118,Res,Administrator
5489148,20220,CRA,
8852429,20743,Res,Read Only
4806675,18887,RPHS,Dietitian
13064100,19395,MD,Social Worker
16162867,14942,SRT,
8310752,16158,PCS,
2152936,16975,Res,
367801,19666,PhStud,Resident/Fellow/PA/NP
933335,15476,MedSt,Read Only
11711838,17486,Rehab,Pharmacist
378668,20678,taf,Attending
2775840,15731,PA,Respiratory
4312023,15079,RD,
303633,20947,STD,Dietitian
6602879,14634,Rph,
15276836,20801,RPH,Resident/Fellow/PA/NP
12765876,14971,PC,
14976943,18751,MD,Read Only
10081868,18418,RO,
10650435,19952,SW,IMD
9391625,20640,RO,IMD
16116698,20788,RN,Social Worker
12911768,18770,MEDST,Read Only
4364677,16572,LICSW,Respiratory
11309675,16725,PhD,Resident/Fellow/PA/NP
3621076,19452,RN,UCO
7185343,14879,,
7921854,15698,SW,Read Only
13487563,14604,MSIV,Respiratory
2646422,21401,MD,
91828,16542,DataMg,
7363553,18299,CoWker,
2145379,20435,MD,IMD
4369900,20470,Rph,Dietitian
16261066,15117,PCT,UCO
684461,21570,H,Pharmacist
2513065,20466,RA,Rehabilitation
1231052,19324,Res,
11595887,20398,RN,Resident/Fellow/PA/NP
5044947,17011,PA-C,Resident/Fellow/PA/NP
16716282,20049,RPHS,UCO
4833311,19352,LICSW,
3433188,19627,SRN,Research Assistant
2765960,18799,PHaD,
11385308,17295,PCT,Read Only
8394071,18435,Res,
14567636,16710,CoOpSt,Dietitian
2460248,18363,tap,Social Worker
14574859,19497,NNP,RN
5318475,16458,Rn,
1084663,14763,MedStu,Read Only
11176190,21058,RN,Social Worker
11801342,16999,IMD,
14261769,17611,Medst,Read Only
14061807,18041,SNNP,Research Assistant
11392521,21367,RN,Administrator
4469543,21164,SN,
2497827,14436,SRT,Pastoral Care
16308212,14501,RO,Rehabilitation
13600202,20821,HMSIV,Dietitian
15764314,14995,md,RN
15306020,14545,DietIn,IMD
3956740,17625,Unit A,Administrator
15105831,14019,RD,
5187189,15539,MDS,
14098957,15889,DI,
11815969,15999,RA,
11938106,20501,PCS,Dietitian
1356231,15064,Med St,PCT/NA
3256779,15958,RT,Respiratory
4327392,19415,Res,
11436219,20604,CoWker,
16357114,14996,PCT,
5297297,18602,Admin,
5369672,20099,STD,Resident/Fellow/PA/NP
7460817,14001,PC,
11150955,18387,MD,UCO
10239035,19176,UA,
13936354,20537,NsgSt,Read Only
12874639,21386,CM,
3597998,20018,MedStu,Resident/Fellow/PA/NP
6862318,18709,PC,
7861704,14001,Med ST,Resident/Fellow/PA/NP
6536423,18901,RO,Rehabilitation
14382550,15771,CRT,Read Only
1233277,20759,MedStu,
8200815,17959,Res,Rehabilitation
11057814,14270,Res,PCT/NA
16108285,16160,RO,Read Only
2378031,19168,RN,
9063005,20822,MD,Respiratory
10509237,18740,MD,Rehabilitation
10814796,15699,RA,
8736729,16751,Co-Wkr,Resident/Fellow/PA/NP
12739591,15187,Studen,Respiratory
5662214,20358,RO,Dietitian
5271125,15900,Res,Resident/Fellow/PA/NP
8709389,16955,Med St,Respiratory
13688081,18181,RRT,RN
12941620,14148,ms,
14569064,19395,PS,Pastoral Care
3740787,18092,Nurse,Case Manager
840556,19644,NPS,
9522684,21117,RO,Dietitian
4272640,15323,RD,Resident/Fellow/PA/NP
13979828,18948,UC,Administrator
1509951,20890,St,
14771322,19687,Rehab,Pharmacist
2015855,20026,RO,Read Only
964692,19396,di,
2261002,15373,RPH,
8728029,18461,tap,Resident/Fellow/PA/NP
317388,20390,NNP,
11209694,18063,DR,Administrator
10940433,16763,RN,Read Only
15766526,21570,RO,
15344797,14366,Rehab,
15254279,18595,"MD,PhD",IMD
14144273,17961,PCS,
3814381,16117,UC,
1964909,19621,PCT,
4878514,17902,CRS,
11359850,16098,RRT,Social Worker
14818997,16681,MD,Research Assistant
2217166,21078,SNNP,Read Only
7048349,20131,UA,
7890357,20325,RN Stu,UCO
10833041,21037,PC,
4548743,19167,RRT,
12514370,17507,OTR/L,Research Assistant
533193,14377,cda,Read Only
3579298,19524,RN,
11448726,19299,CoOpSt,
14868405,19745,RN,Resident/Fellow/PA/NP
8384757,20491,std,RN
15261793,17219,RNCM,Respiratory
48702,19475,Intern,UCO
14179339,20630,PCA,
7524932,17763,RPH,
13884848,15294,CoWkr,
12329560,16873,MD,Administrator
3008147,19038,Admin,
6380457,20730,MD,Attending
14988531,15530,Rn,
163318,20787,RO,
1134284,21570,ReschA,Read Only
3949503,20778,MD,
15369050,19063,RRT,
11786362,19640,PC,
410599,14001,Res,UCO
14943694,16061,CoWkr,Pharmacist
12672922,14001,SW,Pharmacist
13851070,20027,Res,Resident/Fellow/PA/NP
1234363,15771,SW,
9354959,14001,CM,PCT/NA
9749899,18169,Nurse,
2633061,14356,RA,Read Only
5746739,20181,Coord,Pharmacist
15568057,16587,PC,
6670178,17110,HMSIV,
10375866,20548,STD,Social Worker
3134858,18842,RPh,
12797444,14174,Admin,
10331028,15888,ISSupp,Respiratory
1106787,17635,Res,Dietitian
15241843,17056,StPh,Pastoral Care
9876998,20157,CM,Rehabilitation
7467239,15959,PA,
12290855,16228,Coordi,IMD
998642,14001,Res,Administrator
1164311,16963,RN,Read Only
1080508,14368,Res,Rehabilitation
10699472,15243,ISOPS,IMD
6007215,19217,CoWker,
4697422,16666,PC,RN
5385987,19454,Rehab,PCT/NA
9765184,20306,Res,
11659249,15986,RN,Administrator
1550261,18109,Res,Resident/Fellow/PA/NP
9346647,21254,PhStud,Read Only
9625067,15003,Reside,Read Only
4992852,18685,IMD,
74244,16656,RD,Dietitian
1333690,15470,rrt,RN
6114575,14810,cda,
4330394,17684,RN,Respiratory
6539649,20904,RN,PCT/NA
16405691,16847,Res,Attending
1341502,17610,NP,Read Only
5199978,14001,IMD,Pharmacist
12091506,20484,Md,PCT/NA
8488101,19918,MD,
5027294,20236,RTH,
10862596,21351,Med St,Social Worker
4167251,17404,Cowork,Attending
2856057,15019,StuRN,Read Only
6212693,18000,Rehab,
12666914,17781,MedStu,
1777879,20340,RN,PCT/NA
7476957,14682,PA,
14345950,18751,RPH,Resident/Fellow/PA/NP
14194312,17727,LICSW,
8529283,14957,RN,Respiratory
246358,15810,MedSt,Rehabilitation
9096768,14001,RRT,Dietitian
11052174,19959,CRT,
11658047,20076,Admin,
545114,18152,NEOB,RN
8189876,15239,Coopst,
13298296,16374,NStude,Read Only
9758251,20707,DPM,
14153208,14747,NsgSt,RN
16221994,19491,ajm,Read Only
15718882,19540,Rehab,Dietitian
16217587,20651,Stn MD,RN
11354773,16885,RN,Pharmacist
13763553,14548,SNP,
2895514,19542,DI,
3846938,17873,DietIn,Rehabilitation
15455163,19366,RO,Read Only
14407201,18237,AL,
9597940,20980,DR,IMD
3694732,21188,CRT,
13554710,18658,RN,Social Worker
10895292,20819,RN,
14525671,14758,PhD,Rehabilitation
6664975,16550,LDN,RN
8301189,14562,MD,RN
2775367,16443,NEOB,
2635617,15276,RO,
16232790,20752,RS,Read Only
9694476,20948,CM,Read Only
16056706,18913,DO,RN
14057973,16478,Res,Respiratory
16409471,18045,DRM,
4909879,17947,MDs,Resident/Fellow/PA/NP
5418895,15334,SW,Read Only
10999957,14617,NStude,Rehabilitation
13396249,18441,DPM,Respiratory
4626035,14001,RO,
5952850,14501,RES,
7450061,21219,Fell,PCT/NA
14803836,20593,PharmD,Case Manager
7142951,14001,SW,
6240398,19545,respst,Read Only
14596277,16280,RT,Case Manager
6724942,16634,RO,Read Only
6183323,20061,CM,Attending
10894390,17544,Res,Administrator
8354128,19705,CoWker,
207291,16678,St,Research Assistant
15027015,18050,StNurs,
4028413,20495,HMS MS,
14733308,14919,UA,Administrator
77069,18469,Studen,UCO
8820710,16827,UCO,Administrator
859159,18540,RRT,Pharmacist
194532,16318,Res,Attending
12605489,17915,PharmD,PCT/NA
12983258,19069,res,
6271447,21275,RN,Pharmacist
675355,18100,PT,Read Only
10833432,17110,PC,
11434699,15974,CsMngm,
4533296,15636,"MS,RD",RN
6623711,21072,PCT,Administrator
13625127,20719,UA,Research Assistant
10073799,15538,MD,PCT/NA
8820274,19981,StNRS,RN
12937398,18061,MedSt,
16074295,18962,PCT,
11608497,20308,DI,RN
1146296,17670,RN,
11621764,16268,,UCO
7320129,15964,MDS,IMD
967995,16525,MD,
11473357,20472,MSIV,
15904611,17361,PC,Attending
6361874,18919,std,Attending
12485770,21118,MSII,
3059636,20930,Med St,
5254046,17408,ISSC,RN
8095082,20481,Admin,
10990306,20075,RN,Resident/Fellow/PA/NP
9095122,19266,MS,Research Assistant
2354170,15402,PC,Read Only
9425170,17969,RO,Dietitian
16410516,16037,MEDST,PCT/NA
2897203,20321,RPH,
14892188,17903,CoOPSt,
4193213,19027,RN,Resident/Fellow/PA/NP
6979134,15489,DI,IMD
909671,16702,PCT,Dietitian
8044989,21067,StNur,
150837,19277,CM,Resident/Fellow/PA/NP
9694293,15053,HMS IV,Resident/Fellow/PA/NP
4043972,15310,RO,Administrator
8790472,18791,RD/LDN,Pharmacist
16192450,15938,STD,Case Manager
10619132,20441,PCT,UCO
6194942,19994,RN,Respiratory
14710963,18011,PCA,PCT/NA
16048655,19127,RO,IMD
1171416,14767,SN,
6675287,17353,CM,Read Only
13186130,14807,Res,Social Worker
11307539,17300,STN,Pharmacist
15442064,16091,RPh,RN
9987988,19997,RD,PCT/NA
9419677,15676,,Resident/Fellow/PA/NP
1709559,19823,RD,UCO
8016574,14769,Res,
10256079,14719,CM,
4238686,19232,PCA,Rehabilitation
3221121,15748,IMD,
8717654,21570,Reside,
6852492,20167,PCT,IMD
1233857,14991,MS V,
6803311,16262,RNStu,
16701964,18489,DPM,
664815,20484,PA,Respiratory
8330302,17707,Res,Resident/Fellow/PA/NP
2407172,17539,Rehab,Read Only
6759133,15177,MedSt.,RN
5150898,20376,RA,RN
9223322,19936,MedStu,
5312364,17385,UCO,Respiratory
1502944,14120,std,Research Assistant
9358000,18591,MD,PCT/NA
5490806,20797,Dr,Pastoral Care
5727001,20030,CoWker,Resident/Fellow/PA/NP
9991546,17679,DataMg,Resident/Fellow/PA/NP
10777107,15048,RPHS,PCT/NA
14642499,20478,Rehab,Social Worker
3513512,20454,CoOPst,
14417828,20183,PCA,
13291577,19028,RO,Resident/Fellow/PA/NP
1601619,19854,RN,Resident/Fellow/PA/NP
15781789,20761,RO,Pharmacist
14248187,14001,UA,PCT/NA
8626893,19381,Co-Ord,
7851992,15277,ReschA,RN
10288175,14769,PS,
13412523,20971,cda,Pastoral Care
9507497,19127,RD,
