ROW_ID,ITEMID,LABEL,ABBREVIATION,DBSOURCE,LINKSTO,CATEGORY,UNITNAME,PARAM_TYPE,CONCEPTID,LABEL_CAT,CATEGORY_CAT
14884223,163586,sdv-pii-iaaer,sdv-pii-sd89k,metavision,chartevents,OT Notes,,Numeric,,9474,30
1642542,706,sdv-pii-hz3pt,sdv-pii-2xlox,hospital,microbiologyevents,ORGANISM,,,,1758,61
13157601,3062,sdv-pii-drr2x,,metavision,chartevents,PiCCO,mg/hour,Numeric,,1405,30
14533390,4126,sdv-pii-6qtb2,,hospital,microbiologyevents,ORGANISM,,,,5265,65
1836589,4,sdv-pii-0uloh,,metavision,chartevents,Access Lines - Invasive,,Checkbox,,5184,11
9358733,744,sdv-pii-i95n8,,metavision,inputevents_mv,Free Form Intake,mL,Solution,,11080,38
3362329,2734,sdv-pii-3ak1n,,carevue,outputevents,Free Form Intake,,,,3430,39
1088185,661,sdv-pii-hl1uz,sdv-pii-jcvd2,carevue,chartevents,Hematology,,,,9252,22
12049327,9074,sdv-pii-1e0s4,sdv-pii-rvb9t,metavision,inputevents_mv,Nutrition - Supplements,mL,Solution,,9083,39
9774600,89,sdv-pii-fqz9g,,metavision,chartevents,Medications,mmHg,Numeric,,2659,43
3036378,109,sdv-pii-0286j,sdv-pii-6of1i,metavision,chartevents,Restraint/Support Systems,,Checkbox,,2403,10
10121490,18,sdv-pii-6lwec,,carevue,inputevents_cv,Free Form Intake,,,,1515,39
16151355,1929,sdv-pii-y97ce,,metavision,chartevents,Cardiovascular,,Text,,1618,33
16017561,2152,sdv-pii-sjaqb,,hospital,microbiologyevents,ORGANISM,,,,1353,62
387268,64,sdv-pii-h2b33,,metavision,inputevents_mv,Medications,mg,Solution,,2657,52
10252075,9996,sdv-pii-pjorh,,metavision,chartevents,Adm History/FHPA,,Checkbox,,3278,12
10555090,14,sdv-pii-af7od,,carevue,outputevents,,,,,2877,-1
14968593,53902,sdv-pii-fjtsf,,metavision,chartevents,Access Lines - Invasive,,Checkbox,,519,10
7477745,611,sdv-pii-1bkl8,sdv-pii-46u44,carevue,inputevents_cv,Free Form Intake,,,,5845,39
11664648,686,sdv-pii-38nuv,,metavision,inputevents_mv,General,mL,Solution,,645,21
11563653,751,sdv-pii-lo44q,,carevue,inputevents_cv,Free Form Intake,,,,11177,40
1434703,3099,sdv-pii-muhjd,,metavision,procedureevents_mv,4-Procedures,,Process,,8911,4
13103826,625,sdv-pii-qi8oz,,metavision,inputevents_mv,Fluids - Other (Not In Use),mL,Solution,,2882,38
15444422,7599,sdv-pii-sqw5x,,metavision,chartevents,Nutrition - Supplements,kg,Numeric,,2146,49
6120582,15066,sdv-pii-uk7qe,,carevue,chartevents,CVL Insertion,,,,11109,25
6910428,35,sdv-pii-yrlvp,sdv-pii-ne92z,metavision,inputevents_mv,Medications,,Solution,,10401,63
6919992,814,sdv-pii-79ej7,,metavision,chartevents,Scores - APACHE IV,,Text,,9656,76
9808633,954,sdv-pii-sof8l,sdv-pii-xwdc9,carevue,chartevents,,,,,4537,-1
11214810,54003,sdv-pii-ue4jz,,carevue,chartevents,Respiratory,L/min,Numeric,,7288,22
5527762,928,sdv-pii-3zwj2,sdv-pii-cdedj,metavision,outputevents,PA Line Insertion,mL,Numeric,,3450,71
11280785,48,sdv-pii-qkp6e,sdv-pii-0xa1f,metavision,chartevents,Skin - Impairment,cm,Numeric,,973,87
13876947,753,sdv-pii-g489w,,carevue,inputevents_cv,Free Form Intake,,,,8461,-1
14759145,16268,sdv-pii-kjjwy,,metavision,inputevents_mv,Fluids - Other (Not In Use),mL,Solution,,2249,37
1117202,24,sdv-pii-sadpe,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,4243,25
15693621,8,sdv-pii-2h1xc,,metavision,procedureevents_mv,Access Lines - Invasive,,Process,,8279,10
5182292,4001,sdv-pii-9c74n,,carevue,outputevents,,,,,5245,-1
16520461,2,sdv-pii-9sy6w,,metavision,chartevents,Scores - APACHE IV (2),ml/hr,Numeric,,1959,78
14295572,362,sdv-pii-xl8qs,,metavision,chartevents,NICOM,mL,Numeric,,9535,61
3209634,227,sdv-pii-xfc1g,,metavision,chartevents,PA Line Insertion,%,Numeric,,2408,66
13507781,4405,sdv-pii-7di9z,,metavision,chartevents,General,mmHg,Numeric,,2464,44
3944439,16,sdv-pii-5ftlm,sdv-pii-nvaza,metavision,inputevents_mv,Medications,units,Solution,,4360,52
296218,4928,sdv-pii-c072i,,metavision,chartevents,GI/GU,L/min/m2,Numeric,,1089,52
10980576,2883,sdv-pii-xpo3u,sdv-pii-n1b7n,metavision,chartevents,Labs,,Numeric with tag,,8129,50
14154075,194,sdv-pii-i1hg9,,metavision,chartevents,PICC Line Insertion,,Process,,1993,12
14162405,215,sdv-pii-yywr0,sdv-pii-zxumk,metavision,chartevents,Respiratory,insp/min,Numeric,,6652,69
4538880,785,sdv-pii-r7229,sdv-pii-d467k,metavision,chartevents,Access Lines - Invasive,,Checkbox,,5235,7
4021848,98796,sdv-pii-3gp8r,sdv-pii-7oemh,metavision,chartevents,Cardiovascular (Pulses),,Text,,3467,84
9726912,6314,sdv-pii-o7jaz,sdv-pii-1mggq,hospital,microbiologyevents,ORGANISM,,,,2893,63
9394286,9389,sdv-pii-egnj0,sdv-pii-qe0n7,carevue,chartevents,,,,,4966,-1
3530856,707,sdv-pii-sad2g,,metavision,chartevents,Dialysis,/min,Numeric,,1728,52
10233086,12,sdv-pii-ib4j6,,metavision,chartevents,Dialysis,,Numeric,,7148,29
4819371,5502,sdv-pii-95xfg,,metavision,chartevents,PiCCO,L/min/m2,Numeric,,389,68
4844251,3009,sdv-pii-fhv5d,,metavision,inputevents_mv,Antibiotics,dose,Solution,,3530,19
8602649,73,sdv-pii-hu247,,hospital,microbiologyevents,SPECIMEN,,,,37,86
4518813,9748,sdv-pii-41ocq,,carevue,chartevents,,,,,9098,-1
14477799,676,sdv-pii-ffoxr,,metavision,chartevents,Skin - Impairment,,Text,,5718,87
5009933,190061,sdv-pii-siv6u,,carevue,inputevents_cv,Free Form Intake,,,,9365,39
10276879,424,sdv-pii-4pbbw,sdv-pii-wuixc,metavision,chartevents,Respiratory,?F,Numeric,,3344,81
13824534,6179,sdv-pii-1mn4m,sdv-pii-utwdg,hospital,microbiologyevents,ORGANISM,,,,5986,59
5055678,3088,sdv-pii-60tzt,,metavision,chartevents,ABG's,,Text,,2862,8
15870830,4275,sdv-pii-txvl0,,metavision,chartevents,Hemodynamics,mmHg,Numeric,,2936,46
15014945,833,sdv-pii-izh0q,,carevue,chartevents,,,,,11018,-1
7103763,351,sdv-pii-64j57,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,5634,49
2265102,736,sdv-pii-l9rku,,metavision,outputevents,Output,mL,Numeric,,3891,66
12070247,90385,sdv-pii-lfpxp,,metavision,chartevents,Tandem Heart,,Text,,7712,83
9581813,4357,sdv-pii-6o4iv,,metavision,outputevents,Paracentesis,mL,Numeric,,2821,32
14403642,423,sdv-pii-vxzqd,sdv-pii-d6kv7,metavision,procedureevents_mv,6-Cultures,,Process,,2864,10
2363225,549127,sdv-pii-2qkjz,sdv-pii-gy0eg,carevue,inputevents_cv,General,,,,2482,0
13507155,903,sdv-pii-gqe82,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,3181,38
97364,489,sdv-pii-4lo6u,sdv-pii-jvzfs,metavision,chartevents,OT Notes,mmHg,Numeric,,2310,53
11695953,536,sdv-pii-oahi6,,metavision,procedureevents_mv,6-Cultures,,Process,,9193,5
15518723,1787,sdv-pii-z4cxn,,metavision,chartevents,IABP,kg,Numeric,,1973,48
11599859,79,sdv-pii-rd2re,,metavision,chartevents,1-Intubation/Extubation,,Text,,8962,84
11562333,2151,sdv-pii-sqbgy,,metavision,chartevents,Labs,,Numeric with tag,,1670,51
6564857,578,sdv-pii-ykhgx,,hospital,microbiologyevents,SPECIMEN,,,,2707,81
14482495,42542,sdv-pii-bydax,sdv-pii-bdp82,metavision,chartevents,Hemodynamics,mmHg,Numeric,,699,46
7273272,138,sdv-pii-a6s0s,,metavision,chartevents,Heme/Coag,lbs,Numeric,,1424,87
784093,23,sdv-pii-v6za9,,metavision,chartevents,OT Notes,,Solution,,9004,58
12788114,7337,sdv-pii-ei3ix,,metavision,procedureevents_mv,Access Lines - Invasive,,Process,,4252,4
4563371,22,sdv-pii-4qpih,,metavision,chartevents,Dialysis,psi,Numeric,,6906,81
4549557,7704,sdv-pii-tt92f,,metavision,chartevents,Skin - Impairment,cm,Numeric,,1646,85
15800572,88535,sdv-pii-rbqhe,,metavision,chartevents,PiCCO,dynes.sec.cm-5/m2,Numeric,,6638,65
9210084,316,sdv-pii-tzehk,,metavision,chartevents,Scores - APACHE IV (2),mL/beat,Numeric,,1717,64
11996853,7232,sdv-pii-ew9t2,sdv-pii-bkytk,metavision,inputevents_mv,Antibiotics,dose,Solution,,1347,20
5325659,503,sdv-pii-lchi4,,carevue,chartevents,,,,,6033,-1
7542606,6,sdv-pii-u2m4y,,metavision,inputevents_mv,Medications,mEq,Solution,,8554,50
7453189,3463,sdv-pii-e9huf,,metavision,chartevents,Mixed VBGs,mL,Solution,,5414,54
9420516,9,sdv-pii-g53bf,,metavision,procedureevents_mv,Access Lines - Invasive,,Process,,3483,6
7654289,638789,sdv-pii-kzk6m,,metavision,chartevents,VBG'S,,,,988,27
6500940,65,sdv-pii-zalvo,,metavision,chartevents,OT Notes,,Checkbox,,1066,50
12177676,598,sdv-pii-xig5x,,metavision,chartevents,Urine,mL/beat,Numeric,,4136,35
3061578,9085,sdv-pii-tqdtx,,metavision,chartevents,PA Line Insertion,L/min,Numeric,,7057,69
2946375,145,sdv-pii-q8j1h,,carevue,chartevents,,,,,2065,-1
7996107,42,sdv-pii-5ykji,,metavision,chartevents,Cardiovascular (Pulses),,Text,,3697,32
2418419,3797,sdv-pii-s9pwm,,hospital,microbiologyevents,ORGANISM,,,,380,62
1735037,262,sdv-pii-a4whv,sdv-pii-8ilel,carevue,chartevents,,,,,7918,-1
5867870,745374,sdv-pii-sq3zt,,carevue,chartevents,ABG,,,,7683,27
15342844,5,sdv-pii-9nfnj,sdv-pii-60d9q,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,1630,23
15762470,8,sdv-pii-v3j5u,sdv-pii-9taec,hospital,microbiologyevents,ORGANISM,,,,2065,62
6911346,2838,sdv-pii-dbuyz,,carevue,chartevents,,,,,6337,-1
12609525,1593,sdv-pii-6aqxy,,metavision,chartevents,Restraint/Support Systems,,Text,,5495,33
8414299,34,sdv-pii-dak8f,,metavision,chartevents,Skin - Impairment,cm,Numeric,,2110,86
5605676,789,sdv-pii-ugev0,,hospital,microbiologyevents,ORGANISM,,,,1852,64
7549514,34,sdv-pii-gmhk5,,metavision,chartevents,Respiratory,insp/min,Numeric,,1108,70
13457366,3509,sdv-pii-o7tyv,sdv-pii-7d2zq,metavision,chartevents,NICOM,L/min/m2,Numeric,,2224,61
8600555,6158,sdv-pii-1xcw3,,metavision,datetimeevents,Access Lines - Invasive,,Date time,,7420,16
16444768,68738,sdv-pii-klva0,,metavision,inputevents_mv,Nutrition - Enteral,mL,Solution,,6250,64
9062974,2177,sdv-pii-ss0yo,,metavision,chartevents,Skin - Impairment,,Text,,3673,39
13916557,36999,sdv-pii-ypeh0,,metavision,chartevents,Labs,,Numeric with tag,,921,53
6387869,29503,sdv-pii-zxhr7,,metavision,chartevents,Impella,msec,Numeric,,6810,27
9143907,4,sdv-pii-0yih1,,metavision,inputevents_mv,Nutrition - Enteral,mL,Solution,,5429,38
4770006,4668,sdv-pii-84oaq,,hospital,microbiologyevents,ORGANISM,,,,3381,58
13683096,5367,sdv-pii-urmn4,,metavision,inputevents_mv,Antibiotics,dose,Solution,,3208,39
3568762,15781,sdv-pii-g1ppm,sdv-pii-dhszm,metavision,chartevents,Drains,mL,Numeric,,8222,31
5837937,924,sdv-pii-ekzyq,sdv-pii-8hzjj,metavision,procedureevents_mv,4-Procedures,,Process,,8777,8
13766750,233,sdv-pii-lc74i,sdv-pii-f3tza,metavision,inputevents_mv,Medications,units,Solution,,3392,50
5117480,3378,sdv-pii-s5jdv,sdv-pii-ep0qf,metavision,procedureevents_mv,4-Procedures,,Process,,1303,7
9106141,35,sdv-pii-jjy70,,metavision,inputevents_mv,Antibiotics,dose,Solution,,4109,16
8747438,6185,sdv-pii-0qipz,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,3687,39
1161055,78,sdv-pii-szm2k,,metavision,procedureevents_mv,4-Procedures,,Process,,10650,5
4001584,741,sdv-pii-2i0s1,,hospital,microbiologyevents,ANTIBACTERIUM,,,,2982,60
6825536,1548,sdv-pii-6648o,,metavision,inputevents_mv,Fluids - Other (Not In Use),mL,Solution,,3760,26
3049213,3902,sdv-pii-pl22w,,metavision,chartevents,Skin - Impairment,,Text,,4828,82
1286510,4078,sdv-pii-5bco1,,metavision,chartevents,Respiratory,insp/min,Numeric,,8818,66
6502838,234,sdv-pii-z30x1,,carevue,chartevents,,,,,10182,-1
7815327,62938,sdv-pii-16lbw,,metavision,chartevents,Treatments,,Checkbox,,2665,92
10037425,49,sdv-pii-ov6o4,,metavision,inputevents_mv,Fluids - Other (Not In Use),mL,Solution,,7133,38
2128510,839,sdv-pii-byhkp,,carevue,outputevents,,,,,4607,0
8468010,338443,sdv-pii-nqyv3,sdv-pii-sz2v5,metavision,datetimeevents,Access Lines - Invasive,,Date time,,6358,12
1333719,1724,sdv-pii-rb8tv,,metavision,inputevents_mv,Medications,mmol,Solution,,3222,51
10640396,1,sdv-pii-zzsuy,,metavision,inputevents_mv,Nutrition - Enteral,mL,Solution,,5622,58
9059173,3,sdv-pii-j07un,,carevue,chartevents,Case Management,,,,9412,31
947855,81511,sdv-pii-vulmr,,metavision,chartevents,Heme/Coag,,Text,,5202,28
3520383,34197,sdv-pii-swupd,,metavision,chartevents,ApacheIV Parameters,,Text,,1604,47
2728062,1356,sdv-pii-dr93h,,hospital,microbiologyevents,ORGANISM,,,,1309,59
7233140,66,sdv-pii-sxajq,sdv-pii-m752i,carevue,outputevents,,,,,3926,-1
15896415,33777,sdv-pii-7wrm7,,metavision,chartevents,Skin - Incisions,,Text,,4940,81
7340755,6496,sdv-pii-s8nik,sdv-pii-73d21,carevue,chartevents,,,,,5291,-1
14203711,95372,sdv-pii-6rujc,,metavision,chartevents,Labs,,Numeric with tag,,3289,50
6439530,517,sdv-pii-vvyr7,,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,,8487,31
8407496,5,sdv-pii-41xm4,,metavision,procedureevents_mv,4-Procedures,,Text,,6909,9
5775675,2294,sdv-pii-zsfu7,,carevue,chartevents,,,,,5025,-1
2766285,738,sdv-pii-jiyqm,,hospital,microbiologyevents,ORGANISM,,,,9039,62
1604634,349,sdv-pii-f2a42,,metavision,chartevents,3-Significant Events,,Numeric,,2974,9
4058843,3618,sdv-pii-y4njm,,metavision,chartevents,Medications,mmHg,Solution,,1796,39
11501469,67,sdv-pii-t2tqi,,carevue,inputevents_cv,Free Form Intake,,,,2671,39
2804218,4991,sdv-pii-gmkyi,sdv-pii-dnfva,metavision,chartevents,Drug Level,,Numeric,,5392,35
9563497,676,sdv-pii-m0mgl,,metavision,chartevents,VBG'S,mL,Numeric,,3111,31
10030424,6962,sdv-pii-5fm11,sdv-pii-q4ufd,metavision,chartevents,PiCCO,%,Numeric,,5805,59
8982475,552,sdv-pii-x4fx9,,metavision,inputevents_mv,NICOM,mg,Solution,,7846,62
4582982,126,sdv-pii-gbeqa,sdv-pii-ra17s,metavision,inputevents_mv,Antibiotics,dose,Solution,,2463,23
14200558,35,sdv-pii-9iprg,,hospital,microbiologyevents,ANTIBACTERIUM,,,,2086,79
15973563,9049,sdv-pii-na7fr,,metavision,chartevents,OB-GYN,,Text,,1688,79
3534854,56,sdv-pii-6e7ro,,metavision,chartevents,Skin - Impairment,,Text,,725,81
7866009,3055,sdv-pii-3agpt,,carevue,inputevents_cv,Free Form Intake,,,,3065,39
6334940,47201,sdv-pii-672jk,,metavision,chartevents,Treatments,,Checkbox,,5830,90
2324440,4,sdv-pii-k043x,,metavision,chartevents,Dialysis,ml/hr,Numeric,,6728,81
12612309,719,sdv-pii-dtbku,,metavision,chartevents,Case Management,,,,-1,65
12526541,2225,sdv-pii-v4nov,,metavision,chartevents,Adm History/FHPA,,Checkbox,,5592,14
9051625,145,sdv-pii-gn6dr,,metavision,chartevents,Hemodynamics,,Text,,-1,67
12767833,8404,sdv-pii-lm458,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,9399,55
7020255,52,sdv-pii-cecon,,metavision,inputevents_mv,Fluids - Other (Not In Use),mL,Solution,,5674,17
9126877,8981,sdv-pii-f94cn,,carevue,chartevents,,,,,10186,-1
7936529,9135,sdv-pii-g1m7y,,hospital,microbiologyevents,ORGANISM,,,,6331,59
322794,62,sdv-pii-0lyq4,,metavision,chartevents,ABG'S,,Numeric,,2828,61
11619474,742,sdv-pii-y0g2o,,metavision,inputevents_mv,Blood Products/Colloids,mL,Solution,,3373,39
12665510,121,sdv-pii-gk53z,,metavision,inputevents_mv,Nutrition - Supplements,mL,Solution,,6775,24
13214337,943,sdv-pii-ifscj,,metavision,inputevents_mv,Nutrition - Enteral,mL,Solution,,2066,63
1195329,68185,sdv-pii-an3p0,,carevue,chartevents,General,,,,6423,-1
10846834,909,sdv-pii-luutu,sdv-pii-zxfzi,metavision,chartevents,Scores - APACHE IV (2),,Numeric,,1554,79
564623,335,sdv-pii-1o9lu,,metavision,chartevents,Respiratory,bpm,Numeric,,9881,75
16424483,41419,sdv-pii-55lib,,carevue,chartevents,Scores - APACHE IV (2),,,,6118,39
2116739,952,sdv-pii-av4d3,,carevue,chartevents,,,,,5031,-1
1725751,1,sdv-pii-fy2mj,,metavision,procedureevents_mv,Mixed Venous Gases,,Process,,5384,62
15953519,4442,sdv-pii-15ohi,,metavision,chartevents,Dialysis,psi,Numeric,,2987,50
5758269,244,sdv-pii-f9a5m,,metavision,chartevents,Treatments,L/min,Numeric,,1929,85
3195443,5039,sdv-pii-3sr2f,sdv-pii-pailn,metavision,chartevents,6-Cultures,,Text,,4462,6
2057213,3937,sdv-pii-pzemt,,metavision,chartevents,Respiratory,sec,Numeric,,8525,74
5096594,34,sdv-pii-82m4t,sdv-pii-1ktt4,metavision,chartevents,Access Lines - Peripheral,,Checkbox,,2125,48
10063131,2499,sdv-pii-0x5yy,,carevue,inputevents_cv,Free Form Intake,,,,9934,39
7459903,4063,sdv-pii-ay6k8,sdv-pii-lqxfo,metavision,chartevents,Dialysis,psi,Numeric,,1177,21
9330773,2756,sdv-pii-kz5d0,,metavision,chartevents,1-Intubation/Extubation,,Text,,2863,30
7484465,3225,sdv-pii-98o1l,,metavision,chartevents,Respiratory,L/min,Numeric,,2017,79
54773,296,sdv-pii-7871f,sdv-pii-y1wzp,hospital,microbiologyevents,ORGANISM,,,,4351,63
1614077,4,sdv-pii-3foce,,metavision,procedureevents_mv,ANTIBACTERIUM,,Process,,2281,3
9384134,511,sdv-pii-79btb,,metavision,chartevents,IABP,,Numeric,,3210,47
7526955,471,sdv-pii-o9v4c,sdv-pii-qtat9,metavision,chartevents,General,,Text,,10144,63
7167204,9156,sdv-pii-620pf,,metavision,chartevents,Adm History/FHPA,,Checkbox,,6378,12
12938639,12,sdv-pii-lq7tq,,hospital,microbiologyevents,ORGANISM,,,,3560,67
12162410,3513,sdv-pii-47o8n,,metavision,chartevents,Labs,,Numeric,,4137,51
2935731,52948,sdv-pii-hu0jm,,metavision,chartevents,Routine Vital Signs,L/min,Numeric,,2089,84
1236223,61,sdv-pii-co7lj,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,4102,39
4600988,8252,sdv-pii-nkxmn,,carevue,outputevents,,,,,7762,-1
