ROW_ID,ITEMID,LABEL,FLUID,CATEGORY,LOINC_CODE
10848651,50908,98,2,3,506
9304322,51393,523,10,5,575
7479579,51112,332,2,5,520
11568570,50914,272,3,3,445
1829101,50977,83,3,3,253
13632245,51198,376,4,0,394
13277744,51203,198,3,3,566
8584443,51555,157,10,2,575
13694185,51555,452,9,4,575
11376237,51555,535,7,4,556
15757129,51244,77,9,5,424
11186504,51069,539,3,1,575
11438437,51555,467,10,2,528
7542542,51406,72,9,5,231
3119394,51555,487,12,2,575
15465559,50800,267,3,3,532
2106062,51470,588,11,4,575
4338472,51073,414,3,1,575
12748793,51555,436,12,2,575
8670839,50946,74,3,3,322
4944312,51469,70,9,2,540
7293023,51519,475,9,4,546
11918661,51411,107,6,5,575
8546232,51130,409,3,1,525
4211426,50821,100,3,3,219
7527117,50800,126,3,1,345
10567811,51145,588,2,0,575
16309934,51468,312,6,2,553
1040621,51457,370,0,0,569
7353434,51406,164,3,3,565
749796,50891,349,2,5,518
735557,50965,210,9,1,303
14966043,50816,187,2,1,330
7600275,51055,442,9,3,431
2137434,51555,253,9,2,563
539050,51025,364,10,5,426
4890496,51284,210,3,3,449
6885139,51520,148,10,5,575
8817747,50993,151,11,5,539
6793175,51555,403,0,4,575
12703083,50824,301,2,3,575
6445684,51281,426,6,5,520
2718410,51232,105,3,3,138
10603061,50879,339,3,3,313
2055639,50821,241,3,1,575
9995395,51253,489,13,5,575
14551653,50959,75,3,3,341
9552976,50886,50,3,3,487
5906513,51555,525,2,4,557
2598681,51231,185,10,3,87
8102997,50912,207,3,3,406
14653516,51532,495,0,5,507
4495465,51555,528,14,4,575
9782630,51000,417,3,1,268
9814572,50926,104,3,3,273
16474120,51326,447,13,2,575
638181,50975,509,3,3,575
9673689,50931,470,3,1,575
8910635,51555,325,10,5,575
16112812,51548,412,1,2,575
3299697,50844,298,3,1,162
14383864,51271,68,2,3,542
9979562,51225,138,3,3,575
1113127,51032,548,0,3,90
13039503,51431,335,9,5,561
15576490,51555,588,9,2,575
14747699,51129,348,3,5,417
1498214,51140,101,2,3,366
16615318,50908,277,3,3,473
4410222,50813,126,3,1,140
952214,51187,115,3,3,228
12432914,51422,372,10,5,541
5397455,50800,158,3,1,121
9391175,51555,387,8,2,575
8408778,51345,373,2,3,114
8959868,51555,186,3,3,326
16302918,51237,405,3,3,428
10873980,51514,510,7,4,575
9978714,51482,506,10,2,562
12430568,51533,456,14,5,570
11422325,51231,367,8,1,0
11232143,51049,185,2,3,221
13172930,50844,111,3,1,0
2257120,51555,440,10,1,0
16744254,51547,474,8,5,566
12024553,51197,70,4,3,227
4383916,51555,402,1,2,537
2214459,51018,289,8,5,119
7087121,51555,124,9,4,575
15935966,51546,588,9,2,575
7155843,51361,99,2,3,184
1981153,51555,588,9,2,554
4137789,51555,478,3,3,429
3429762,50937,418,3,3,279
9015036,51555,0,9,5,563
11906576,50811,399,8,3,467
691947,51387,442,10,5,575
4412658,50800,16,3,1,160
319537,51225,383,3,1,17
15197644,51225,489,0,5,478
11071862,50877,409,2,1,477
7765075,51555,588,9,4,574
14278722,50912,588,15,5,575
13799633,51087,369,3,3,442
7383886,50942,453,3,1,320
1355547,51520,588,11,5,556
16620111,50813,333,3,1,149
466044,51289,245,3,1,347
6971367,51332,359,13,5,548
8553317,51443,0,5,5,575
3758489,51555,368,0,2,575
8284620,50825,387,2,3,405
11972907,50869,40,3,1,544
8188863,51401,288,3,3,366
10632853,51312,118,3,3,170
14432654,50824,409,1,5,575
14087424,51555,588,10,2,575
8230094,51555,411,3,2,575
16325269,51555,546,13,4,575
11531667,51405,431,8,3,387
5992884,50833,509,3,3,183
15521237,51208,434,8,1,545
16560885,50882,549,3,1,371
941927,50875,263,3,1,364
12117421,51555,294,11,4,549
9643126,51555,49,3,3,494
8183173,50902,482,3,1,538
10971278,51385,185,3,3,431
5789404,50911,535,0,0,575
376664,51555,392,3,4,564
10911850,50898,162,3,1,541
3981730,50901,255,8,0,575
7439296,50905,178,3,1,179
15955747,51232,261,2,3,206
14595490,51177,212,2,5,437
2959545,50925,278,3,1,62
159238,51232,476,10,3,575
5001856,51498,518,3,0,146
9665124,51555,517,9,4,575
8324593,50880,367,3,3,339
5226815,51471,394,0,2,575
2152129,51185,116,3,3,0
3786904,51355,186,4,1,290
12541478,50931,474,1,3,475
1140811,51272,402,11,5,572
75733,51555,588,9,0,575
12290562,51555,588,10,2,566
1735681,51264,500,4,5,568
7674283,51555,588,8,4,532
5292541,51555,87,3,3,575
2313839,51461,133,8,5,377
16504414,51344,196,10,5,575
8908432,51495,142,14,5,339
7533200,50890,216,3,3,294
13594790,51308,428,3,5,518
1032299,51555,588,15,0,575
14611199,51245,571,3,1,556
11476931,50809,588,11,1,524
799717,50999,130,3,3,217
13785084,51402,400,9,5,575
10305173,51245,37,3,3,494
3884419,51124,252,13,5,371
360453,51372,5,1,3,575
14587195,51555,399,8,2,575
1844544,51322,588,6,4,571
15340343,50800,528,4,1,30
11090055,50973,97,3,3,249
686927,50944,221,3,3,445
12327300,50802,568,3,1,20
7082466,51287,416,0,5,575
331231,50926,0,2,3,135
1226093,51159,232,3,3,466
2927834,51011,222,11,5,451
331168,51285,458,10,5,563
6374960,50824,396,3,1,509
10170579,51540,421,7,0,412
11885631,51526,539,15,2,575
1938908,51541,551,8,2,575
14046634,51153,533,3,5,565
6973869,51032,166,2,3,547
2772845,50896,311,3,3,343
15145263,51033,265,7,5,529
5226197,51109,304,15,5,557
6598936,50843,393,10,1,575
13569785,51555,339,8,2,575
12476071,50991,306,3,3,362
1403447,51358,398,3,3,397
4630929,51062,588,10,3,46
1591075,51422,90,0,5,575
13795402,51319,89,10,5,575
8679650,51555,415,0,2,575
15022227,51355,151,8,5,575
3123171,50930,215,3,3,143
308209,51345,183,3,5,445
6662763,51555,389,9,4,575
1244593,51364,68,2,3,575
16583092,51415,143,3,5,316
7096324,51555,417,3,2,575
8905679,51353,208,7,5,558
1019926,50908,197,3,1,505
4929510,50845,227,2,3,510
605182,51246,544,3,1,262
7753122,51499,550,0,4,495
11060564,50949,568,15,1,71
11294439,51299,346,15,5,334
11486305,51414,223,2,5,321
11496427,51400,506,9,5,423
1503133,51425,315,3,5,188
15279302,51385,473,6,5,532
14271592,51431,588,8,4,575
14158968,50806,215,8,5,185
1366486,51555,465,8,2,575
3945767,51325,132,10,0,525
2378955,50833,334,4,1,14
6818056,51191,224,2,3,316
8162574,51555,404,9,2,575
12432395,50922,0,3,5,450
8388817,51156,116,3,1,57
5736534,50921,533,3,3,469
14338314,51554,550,0,4,575
13423912,51156,100,3,3,280
4603468,51555,577,14,4,575
3247948,51030,208,2,1,545
1291324,50802,308,3,1,333
5432732,51555,182,10,4,575
13320994,51500,343,3,3,153
14017080,50800,100,3,1,117
13090801,50970,209,3,1,131
337918,51555,98,3,3,299
9189332,50800,360,3,3,401
5462992,50971,326,14,3,575
2951508,51300,268,3,3,422
14209150,51416,343,3,5,559
14414458,51209,460,3,3,378
6783073,51555,451,10,5,575
15082290,51555,446,5,2,575
5834189,50800,356,3,1,566
8509889,50974,326,9,3,575
13499452,51525,436,14,4,575
16730792,50894,552,3,3,240
898182,50896,162,3,1,73
8573346,50998,168,3,5,301
8198505,50992,241,3,1,230
8336087,51199,588,9,2,575
9448845,51555,348,3,5,501
7494607,51555,188,0,4,575
13256094,50908,345,3,1,393
4350123,50920,96,3,3,143
14117785,51249,588,2,5,574
11023730,51035,417,0,2,575
10530892,50895,474,9,5,575
5075504,51092,359,3,1,43
13863357,50923,90,9,1,330
4974590,50800,141,3,1,217
12993401,51020,446,3,3,180
16167710,50846,580,3,3,408
2128146,51052,254,13,5,567
15823370,51555,177,9,2,575
1774692,51470,588,2,4,422
11646550,51385,272,9,5,575
7917125,51146,556,3,5,524
2018169,51154,164,3,3,429
13341263,51159,242,1,0,531
7845302,51216,110,8,5,567
1867061,50981,0,3,3,327
12552447,51357,412,3,3,340
587911,51470,588,3,5,575
10962019,51405,123,3,4,575
1416549,51068,456,6,3,575
8094466,51511,587,4,0,575
15558831,50996,212,2,3,508
16179213,51555,101,2,4,575
894155,50843,498,3,1,0
13527590,50934,125,10,5,110
3617624,51268,583,7,5,439
15660251,51389,206,3,5,67
3441274,50800,237,3,3,367
166030,51038,36,3,3,263
2656288,51408,481,3,5,575
2988948,50888,274,3,3,389
12782518,50949,265,3,5,456
4248266,51001,321,3,5,563
13722000,50936,486,8,0,575
9440402,51356,268,14,5,575
434016,51200,286,9,5,565
8998676,51063,82,15,5,543
547599,51278,528,9,5,575
6539971,51555,478,9,4,575
14538620,51468,339,9,2,570
16409181,51027,105,3,5,491
8209390,51555,557,9,2,575
513219,51366,520,7,0,541
14934847,51555,54,10,2,575
6055065,50919,588,6,0,575
11561519,50872,465,4,5,575
6711462,51555,266,13,4,575
12772975,51547,250,0,2,575
14960544,50800,457,3,1,0
2300241,51554,460,3,2,531
1284349,51104,146,2,3,462
2477071,51261,550,2,1,560
9249508,51173,546,3,5,255
449320,50956,136,3,3,118
12574844,51555,116,10,4,571
15077897,50947,222,10,5,317
8692455,51555,399,9,4,575
10967523,51313,371,2,5,430
16473881,50999,503,3,5,531
5064546,51364,319,4,5,555
8353428,51426,107,9,5,575
6540637,51555,570,14,4,575
15326995,51555,217,2,4,575
2437701,51433,279,3,5,475
8973989,51555,431,0,2,555
6380834,51555,338,5,4,423
9193568,50862,412,3,5,117
13060430,51356,433,4,5,435
7268830,51382,88,6,5,565
6597527,51080,291,2,3,345
12362938,50898,475,1,5,347
15017949,50843,308,3,1,0
5491545,51209,146,3,5,537
11744154,51460,588,0,0,575
10148596,50895,201,7,5,157
13915954,50938,283,3,3,362
8291540,50886,127,2,3,203
5373186,51555,322,0,2,551
5353736,51411,334,3,3,208
8232121,51555,396,9,4,575
13583940,50830,416,2,5,173
14404137,51067,94,4,1,0
8658639,51555,588,2,4,575
6355807,51486,571,10,2,80
14581873,50962,510,3,1,101
10645864,51221,87,2,3,418
2632070,50800,396,3,1,262
3021714,50870,379,2,1,150
3501826,50934,118,15,3,55
3740200,51165,546,3,3,163
13240932,51477,377,9,2,575
8624601,51281,492,9,5,562
7948538,51555,369,0,2,575
15755464,51135,46,3,3,333
13340714,50949,335,14,5,570
7735649,51157,317,11,3,151
5175518,51391,215,9,5,568
7790137,51503,452,9,4,575
7913329,50800,102,3,3,29
8039216,51192,177,3,3,575
5699363,51555,550,13,4,575
12200235,50881,405,3,1,559
2508978,51555,390,8,4,575
16314065,51555,415,9,2,558
14801850,51377,500,3,5,575
15599676,51129,588,3,5,176
6666331,51380,318,13,5,572
10297064,51504,247,8,5,240
16010700,51555,438,1,4,140
762527,50902,34,3,3,345
10639734,51555,519,1,2,575
6826564,51187,564,0,2,575
10370637,50845,261,3,5,383
11543406,51304,426,3,0,575
10012635,50940,531,11,3,280
15234362,51016,296,3,3,220
4348774,50892,449,2,1,140
1681188,51002,459,3,3,118
12864711,51150,379,2,3,489
3003919,51533,464,9,2,575
7511704,50882,351,2,3,222
12649028,51276,138,2,5,176
12796271,51337,470,11,1,575
11619766,50827,284,2,3,527
8632347,51279,84,10,5,575
7359441,51530,548,9,2,575
1243173,50800,128,3,1,278
3331768,51466,456,0,2,544
12940231,51418,18,0,3,108
16234617,50915,588,3,3,575
15381418,50818,239,14,3,479
12033057,51055,96,9,5,117
8049271,50961,77,10,5,535
5085566,51493,463,14,4,575
2234938,51458,434,3,5,392
7374752,50978,412,10,0,558
1698552,51555,269,10,2,526
11539237,51413,432,4,4,575
5320343,51052,73,2,3,386
10754057,51432,346,0,5,575
14423321,51555,285,13,4,569
6406430,51018,418,3,3,482
3543769,51017,404,2,3,537
741450,51555,421,9,4,575
14012642,50946,588,3,3,56
6328748,51334,87,0,5,575
13717347,51555,270,9,0,575
14345913,51555,60,0,2,544
7126226,50800,568,4,1,521
12864571,51279,116,9,5,575
1345051,50914,174,3,1,275
386555,51221,464,2,3,363
11830448,51253,105,13,5,387
13774921,51555,588,3,0,575
12699589,51376,156,7,5,459
478283,51524,486,3,5,526
3003052,51555,588,14,4,575
11528351,51555,436,0,2,575
14934670,51443,509,1,2,575
2594810,51130,354,3,5,160
12361351,51555,512,10,2,575
7297633,51287,254,9,4,542
1705221,51304,579,2,0,407
12723846,51555,348,9,2,575
6962639,51058,244,11,5,249
12318429,51301,334,5,5,392
7543164,50860,539,3,1,562
12116919,50960,275,10,5,563
10281549,50953,214,10,5,75
16663108,51548,551,8,0,575
5549087,51341,435,3,3,553
6869201,51555,548,10,5,273
4145556,50950,531,8,4,561
4651353,51308,441,4,3,336
4819619,51087,184,7,5,380
15464960,50831,417,3,1,49
9914619,51020,588,10,5,575
5154126,51383,75,3,3,527
8443278,50850,379,2,3,488
2065229,51341,70,9,5,564
668217,51091,159,11,5,395
1978669,51128,455,3,5,575
1070546,50925,0,2,3,392
10448393,51306,413,10,5,575
15292064,51281,230,9,3,105
147076,50873,63,2,3,258
16490728,51477,534,10,5,575
5619150,50991,283,10,5,575
3892019,51477,226,13,4,561
4681330,51092,421,3,3,106
5005941,51537,509,10,2,575
7916346,51552,384,8,5,540
11391825,50834,155,3,3,520
2104260,50800,363,3,5,350
16606766,51443,422,9,4,575
3807973,51455,387,2,2,575
7118942,51555,515,8,2,575
9579735,50906,188,3,1,320
1106863,51555,236,9,2,459
2301940,51261,332,3,5,575
853646,51477,393,0,0,575
5457439,51049,270,3,3,404
8097829,51437,480,8,2,575
13964795,51555,451,7,2,575
2114812,51498,474,10,5,561
7952900,50941,57,8,3,549
11886749,51461,144,8,5,575
2130020,51453,90,10,2,575
12747259,51555,200,15,2,545
5455058,51281,433,12,5,464
7389473,51403,362,0,0,575
4796984,51141,250,3,3,308
5674161,51530,588,11,0,575
823379,51458,146,4,3,300
613083,51289,520,10,2,575
12556404,50999,418,3,3,451
6209102,51225,84,3,3,41
10377281,51082,296,10,5,573
2532501,50906,99,3,3,402
11721510,51404,409,9,5,572
2919003,50925,165,3,1,42
5676721,51417,149,3,3,445
4288170,51249,446,4,5,383
9630661,51298,564,9,5,568
6640461,51359,570,9,0,425
5100488,50883,69,3,3,536
15505029,50800,350,3,5,272
719818,51328,158,0,5,575
3552158,51109,169,3,3,128
1026704,50800,437,4,1,575
2293475,50964,120,3,1,156
6226299,50800,97,3,1,141
2550824,51555,466,9,4,575
10519310,51555,523,14,4,575
12577057,50812,251,3,1,115
1615513,51488,531,2,5,566
14000023,50964,106,4,3,131
13120624,51408,158,10,5,513
9507954,50905,365,3,1,356
10347197,50800,278,3,3,354
9350368,50994,452,4,1,545
3977779,51551,352,9,2,575
7498828,50829,450,3,1,230
2491478,50846,250,2,3,289
1998193,51441,20,9,5,575
11533281,51555,503,1,2,560
11397206,50944,451,15,1,132
6665556,51555,261,10,0,575
10060668,50878,122,3,5,321
1340264,50996,58,3,3,284
8305507,51216,385,12,5,575
6369393,51551,422,3,2,575
5746953,50937,0,2,3,250
4326786,50954,522,3,3,501
14789115,51165,355,8,5,99
8243602,50964,541,3,1,43
12955411,50949,497,3,1,300
4989930,51163,588,3,5,575
88615,51078,493,1,1,547
15155894,50864,449,2,3,575
7417621,51100,76,3,5,307
8064741,51555,456,8,4,575
8585293,51475,340,8,4,436
8496694,51555,298,10,2,575
7702101,51505,123,3,3,218
1886898,51045,488,3,3,424
3715050,51352,151,10,5,177
11971158,51555,274,1,4,575
10555750,51083,235,15,3,371
10411735,51200,448,3,1,253
7300896,51057,134,3,3,350
345129,51246,224,2,5,480
6307217,51519,372,0,4,575
14307117,51373,421,13,5,418
6581629,51404,159,7,0,481
11928246,51507,344,5,2,552
10174322,51555,403,8,4,575
2002717,51515,588,10,0,301
3068073,51251,274,3,3,81
2200048,51369,541,3,0,530
14475082,51271,539,2,5,575
246146,51170,43,9,5,575
10525062,51555,429,0,4,575
5619831,51315,402,9,5,546
16622913,51362,588,9,4,557
12448625,50800,474,4,1,128
5233107,51107,38,3,5,205
11821871,51156,132,3,5,530
15617064,51555,469,9,2,575
120804,51555,571,8,2,575
9041412,50800,492,3,3,362
5316089,50800,90,2,1,551
9494563,51555,473,14,0,316
8005700,51555,518,0,2,565
7815495,50800,282,3,1,0
14864758,51555,471,9,2,575
1367575,51555,532,1,4,575
12642826,50911,205,3,5,575
15124436,51544,588,3,0,575
13802629,51009,297,11,0,458
9789864,50800,52,3,1,397
7439601,51526,588,0,2,573
15653065,51090,380,3,3,176
11125501,51555,249,0,4,575
3643924,50820,420,2,1,52
1921810,51059,588,9,5,575
1270296,51552,486,9,0,575
505859,50972,376,3,5,466
6991726,51555,351,15,4,575
16743472,51555,311,10,2,540
14156360,50800,438,3,1,18
7484979,50939,123,2,3,370
8273205,51328,578,4,5,575
4071666,51555,494,3,4,575
7122722,50944,368,4,1,0
1247242,51354,440,10,5,575
6901837,51531,588,0,0,575
14943929,51413,45,0,5,575
6904053,51503,588,9,4,573
9933260,50985,242,2,5,270
16585556,51318,487,3,0,533
15255136,51123,225,4,5,541
7459485,51435,126,6,0,345
14410553,51109,457,10,5,337
953583,51267,0,2,3,542
11434737,50818,53,3,3,408
14002567,51260,167,3,3,468
7047793,50918,414,2,5,575
16144967,50821,85,3,3,351
2251173,51503,313,10,2,540
14404559,51375,263,6,5,563
6132804,51315,469,3,5,556
3135020,50966,360,3,3,442
9484242,50915,85,3,3,145
11463585,51010,335,3,1,409
2753389,50800,360,3,1,0
3968752,51123,52,12,5,271
9002567,51555,551,15,2,560
15109000,50800,435,7,5,504
1832826,51083,15,3,3,285
7146359,50867,116,4,3,164
10229080,51555,588,11,0,575
6775309,51555,588,1,4,575
15199656,51269,460,4,3,174
9463299,50890,505,2,3,552
13051800,51555,544,6,2,575
5989565,51271,70,0,5,358
6299110,51531,262,9,2,575
9491147,51123,199,7,5,318
15493458,51555,542,11,2,548
565861,50918,164,2,5,575
16729549,50896,0,3,1,531
7659704,51126,588,11,0,414
14471859,50800,411,14,3,189
13837598,51124,456,2,1,485
11718143,51555,474,10,2,574
14506949,51387,237,3,3,575
2478656,50934,485,9,5,575
3963722,51555,239,5,4,575
13976078,51555,588,9,4,575
16654769,50856,357,2,1,43
8902758,51001,178,13,5,321
1556764,51462,558,9,5,524
6849125,50800,438,3,1,491
11795016,51555,478,10,2,575
15049847,51538,432,9,4,575
16456636,50800,539,3,1,106
12389462,50800,291,3,1,350
13408625,51353,374,0,4,575
6331913,51169,253,14,5,494
14482243,51286,333,5,5,575
7708623,51511,573,6,4,573
796804,50887,382,2,3,372
1298176,50912,516,3,1,295
11530956,51555,494,12,4,575
14774641,50817,533,3,3,347
11956342,50828,232,14,3,575
4562362,51102,588,10,0,550
6020937,51442,523,1,4,531
8923543,51377,445,3,0,570
6969810,51516,555,3,4,575
1187792,50831,161,3,1,217
16113982,51432,444,14,2,575
12342051,51428,42,11,5,464
9967657,51507,523,3,3,333
14488548,50982,279,9,5,269
3441223,50909,201,2,5,489
10999878,50935,176,3,1,273
13763421,51418,400,15,5,411
6199233,50933,588,14,1,291
9598492,51277,504,5,5,445
11290205,51555,553,9,4,575
13416785,51052,383,3,5,569
15213767,51480,588,2,2,575
5400929,50914,510,4,3,85
12243082,50919,403,3,1,183
2991273,51555,434,7,2,558
6860803,51082,498,3,1,559
7771931,50999,351,8,5,555
12010315,51555,357,8,2,575
8114372,51555,484,9,0,575
6287119,51409,401,10,4,575
8167637,51032,154,10,5,424
6582430,51302,536,11,5,333
10456661,51327,588,5,5,258
6045014,51123,303,3,3,390
2783057,51555,403,14,2,575
4808740,50800,374,2,1,339
6837884,50800,94,2,3,487
453975,50911,181,3,5,408
14986346,51555,175,10,4,575
10774812,51555,478,10,2,575
7611927,51405,246,3,5,575
3682800,51126,511,3,3,189
6181168,51555,588,1,4,575
4866928,50917,153,10,5,282
15927985,50870,214,2,3,575
11218045,51554,392,9,2,575
6888869,50881,376,3,1,130
6089198,51529,221,10,2,575
5094038,50834,79,14,5,466
9494039,51059,447,3,3,404
426798,51555,414,14,0,124
8632191,50917,177,3,1,393
14981696,51555,403,10,2,575
2069381,51140,253,3,3,515
11603399,50800,23,3,1,271
1107707,51481,42,3,3,347
2610966,51505,541,3,2,524
8001348,51478,588,8,5,537
14192515,50911,161,7,3,440
16507968,51345,392,0,2,553
12332630,51499,107,8,5,575
10191091,51555,541,9,4,575
14097684,51406,339,4,5,382
9263341,51500,244,10,2,565
4055808,51174,297,11,3,496
16222919,51442,588,4,0,575
15568602,51052,314,3,5,571
