ROW_ID,CATEGORY,SECTIONRANGE,SECTIONHEADER,SUBSECTIONRANGE,SUBSECTIONHEADER,CODESUFFIX,MINCODEINSUBSECTION,MAXCODEINSUBSECTION,SECTIONHEADER_CAT,SUBSECTIONHEADER_CAT
11210187,2,0001F-7025F,Performance measurement,0500F-0575F,Patient history,F,4589,15,4,16
1222313,2,0256T-0259T,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,F,5010,15,5,16
5770644,2,0001F-7025F,Performance measurement,0016T-0207T,Patient management,F,5349,15,4,113
15718273,2,0001F-7025F,Performance measurement,1000F-1220F,Diagnostic/screening processes or results,T,1329,15,4,31
14194914,2,0001F-7025F,Emerging technology,0500F-0575F,Diagnostic/screening processes or results,F,7010,1272,5,16
7114715,2,0001F-7025F,Performance measurement,0016T-0207T,Composite measures,F,7010,15,4,36
11288848,2,0001F-7025F,Performance measurement,3006F-3573F,Physical examination,F,5772,15,5,16
1622855,2,0001F-7025F,Performance measurement,7010F-7025F,Patient history,F,7010,1124,5,16
16255219,2,0001F-7025F,Performance measurement,0256T-0259T,Patient safety,F,7010,15,3,16
11748127,2,0001F-7025F,Performance measurement,0500F-0575F,Physical examination,F,7010,1466,1,16
3426386,2,0256T-0259T,Performance measurement,0256T-0259T,Patient history,F,6839,15,5,16
1191601,2,0256T-0259T,Performance measurement,3006F-3573F,Temporary codes,F,4915,4119,4,29
767781,2,0001F-7025F,Performance measurement,7010F-7025F,Patient history,F,4211,653,4,46
7148988,3,0001F-7025F,Performance measurement,0500F-0575F,"Therapeutic, preventive or other interventions",F,1587,915,4,89
4990996,2,0001F-7025F,Performance measurement,0001F-0015F,Patient safety,F,7010,15,5,53
7371430,2,0001F-7025F,Performance measurement,4000F-4306F,Composite measures,F,7010,898,3,16
5667775,2,0001F-7025F,Emerging technology,6005F-6045F,Temporary codes,F,1,15,5,98
2984984,2,0001F-7025F,Performance measurement,6005F-6045F,Composite measures,F,7010,15,4,48
8397035,2,0016T-0207T,Performance measurement,1000F-1220F,Patient management,F,1278,15,2,68
12028937,2,0256T-0259T,Performance measurement,0016T-0207T,Temporary codes,F,6149,15,4,41
1589616,2,0001F-7025F,Performance measurement,0500F-0575F,Diagnostic/screening processes or results,F,3249,1162,1,16
864329,2,0001F-7025F,Emerging technology,3006F-3573F,Patient history,F,6097,15,4,16
9329081,2,0001F-7025F,Performance measurement,4000F-4306F,Patient management,F,3677,15,3,16
167092,2,0256T-0259T,Performance measurement,0256T-0259T,Patient safety,F,7010,15,5,40
5912703,2,0001F-7025F,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,F,3679,985,3,16
696933,2,0001F-7025F,Performance measurement,3006F-3573F,"Therapeutic, preventive or other interventions",F,6799,277,3,122
12610086,2,0001F-7025F,Performance measurement,3006F-3573F,Patient management,F,7010,15,4,44
3720931,2,0001F-7025F,Performance measurement,3006F-3573F,Structural Measures,F,7010,15,4,16
2130262,2,0001F-7025F,Performance measurement,1000F-1220F,Physical examination,F,3641,15,4,40
2836833,2,0016T-0207T,Performance measurement,6005F-6045F,Physical examination,F,3983,15,4,17
15609937,2,0001F-7025F,Performance measurement,3006F-3573F,Patient safety,F,7010,15,4,16
3934150,2,0001F-7025F,Emerging technology,6005F-6045F,Physical examination,F,7010,4604,4,16
10468237,2,0256T-0259T,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,F,5101,15,4,40
4586758,2,0001F-7025F,Performance measurement,2000F-2050F,Physical examination,T,3327,3360,5,16
15316471,2,0016T-0207T,Performance measurement,0001F-0015F,Physical examination,F,3936,15,4,16
1576126,2,0001F-7025F,Performance measurement,0500F-0575F,Physical examination,F,6456,107,4,16
9936790,2,0001F-7025F,Emerging technology,6005F-6045F,Patient history,F,891,15,4,89
12834221,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,7010,2834,5,16
11979265,2,0001F-7025F,Performance measurement,1000F-1220F,Diagnostic/screening processes or results,F,7010,15,4,16
8771555,2,0256T-0259T,Performance measurement,6005F-6045F,Temporary codes,F,7010,15,3,53
3235631,3,0256T-0259T,Performance measurement,7010F-7025F,Temporary codes,T,7010,2783,3,16
14404049,2,0001F-7025F,Emerging technology,1000F-1220F,Temporary codes,F,5707,704,4,16
8663545,2,0256T-0259T,Emerging technology,2000F-2050F,Patient safety,F,3847,1293,3,16
14076447,2,0256T-0259T,Performance measurement,0016T-0207T,Patient history,T,7010,1692,5,39
5744254,2,0001F-7025F,Performance measurement,1000F-1220F,Diagnostic/screening processes or results,F,7010,129,5,34
10043083,2,0001F-7025F,Performance measurement,0016T-0207T,Physical examination,T,5686,2373,1,49
5720736,3,0016T-0207T,Performance measurement,3006F-3573F,Patient history,F,6311,15,1,31
7178282,2,0001F-7025F,Performance measurement,0016T-0207T,Patient history,F,7010,15,3,16
5745505,2,0001F-7025F,Performance measurement,7010F-7025F,Follow-up or other outcomes,F,7010,15,4,16
2523735,3,0001F-7025F,Performance measurement,7010F-7025F,Patient management,F,2474,15,3,24
13895174,3,0001F-7025F,Performance measurement,5005F-5100F,Temporary codes,F,6804,4116,4,16
11351480,2,0001F-7025F,Performance measurement,2000F-2050F,Physical examination,F,7010,15,4,16
12621844,3,0001F-7025F,Performance measurement,3006F-3573F,Physical examination,F,7010,15,4,69
12518430,2,0001F-7025F,Performance measurement,3006F-3573F,Follow-up or other outcomes,F,7010,15,4,122
9224144,2,0001F-7025F,Performance measurement,6005F-6045F,Patient safety,F,7010,15,5,30
12244112,2,0256T-0259T,Performance measurement,7010F-7025F,Structural Measures,F,4290,15,3,113
2089991,2,0001F-7025F,Performance measurement,6005F-6045F,Temporary codes,F,6812,15,3,66
7121121,2,0256T-0259T,Performance measurement,0001F-0015F,Physical examination,F,6099,15,5,16
6693090,2,0001F-7025F,Performance measurement,0500F-0575F,Patient safety,T,7010,15,4,18
12148231,3,0001F-7025F,Emerging technology,0500F-0575F,Temporary codes,F,7010,15,4,122
3194443,2,0001F-7025F,Performance measurement,0500F-0575F,Patient management,F,285,15,1,32
16703486,2,0001F-7025F,Performance measurement,2000F-2050F,Follow-up or other outcomes,F,5402,554,1,16
9811075,2,0016T-0207T,Performance measurement,0016T-0207T,Physical examination,F,7010,15,5,16
14626061,2,0001F-7025F,Emerging technology,5005F-5100F,Structural Measures,F,5009,5655,4,16
14022872,2,0001F-7025F,Performance measurement,1000F-1220F,Temporary codes,F,3518,15,4,16
2408788,2,0256T-0259T,Performance measurement,0500F-0575F,Patient management,F,7010,2872,5,16
2753475,2,0001F-7025F,Performance measurement,0256T-0259T,Temporary codes,F,7010,2346,5,24
15102300,2,0001F-7025F,Performance measurement,3006F-3573F,Composite measures,F,4893,15,4,16
12817228,2,0001F-7025F,Performance measurement,5005F-5100F,Temporary codes,F,7010,15,5,45
3831278,2,0016T-0207T,Performance measurement,1000F-1220F,Physical examination,T,7010,15,3,71
14937835,2,0001F-7025F,Performance measurement,2000F-2050F,Structural Measures,F,7010,15,1,16
9898945,2,0001F-7025F,Performance measurement,0500F-0575F,"Therapeutic, preventive or other interventions",T,2915,15,5,16
15115759,2,0001F-7025F,Performance measurement,2000F-2050F,Physical examination,T,7010,2015,4,33
15169821,2,0001F-7025F,Performance measurement,0256T-0259T,Temporary codes,F,2141,4484,1,28
14355888,2,0001F-7025F,Performance measurement,0256T-0259T,Physical examination,F,7010,1271,4,16
1483186,2,0001F-7025F,Performance measurement,6005F-6045F,Composite measures,F,2253,15,3,16
10860014,2,0001F-7025F,Performance measurement,1000F-1220F,Patient safety,F,7010,648,4,42
15162975,2,0001F-7025F,Performance measurement,2000F-2050F,Follow-up or other outcomes,F,6233,15,5,16
15256441,2,0016T-0207T,Performance measurement,0256T-0259T,"Therapeutic, preventive or other interventions",F,1,1149,5,16
14310724,2,0016T-0207T,Performance measurement,0256T-0259T,Temporary codes,F,7010,1188,5,16
5868446,2,0016T-0207T,Emerging technology,0256T-0259T,Patient safety,F,7010,2493,4,16
5021448,2,0256T-0259T,Performance measurement,0500F-0575F,Diagnostic/screening processes or results,F,7010,15,1,92
2223485,2,0001F-7025F,Performance measurement,5005F-5100F,Temporary codes,F,7010,15,4,22
5367864,2,0001F-7025F,Performance measurement,0016T-0207T,Temporary codes,F,7010,15,4,47
13906599,2,0256T-0259T,Performance measurement,6005F-6045F,Temporary codes,F,4952,6169,4,16
5252214,2,0001F-7025F,Performance measurement,0500F-0575F,Patient safety,F,7010,5464,3,16
1291446,2,0001F-7025F,Performance measurement,0500F-0575F,"Therapeutic, preventive or other interventions",F,7010,3468,4,16
3263228,2,0001F-7025F,Performance measurement,5005F-5100F,Patient safety,F,7010,15,4,122
9340259,2,0001F-7025F,Performance measurement,0256T-0259T,Diagnostic/screening processes or results,F,6218,873,4,16
8496275,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,7010,15,1,79
15507445,2,0001F-7025F,Performance measurement,0016T-0207T,Diagnostic/screening processes or results,F,6165,15,3,44
11815376,2,0001F-7025F,Performance measurement,0256T-0259T,Diagnostic/screening processes or results,F,6326,5639,4,16
2878315,2,0001F-7025F,Performance measurement,0500F-0575F,Physical examination,F,2210,15,4,40
4363017,3,0001F-7025F,Performance measurement,5005F-5100F,Structural Measures,F,4159,15,5,16
2499444,2,0001F-7025F,Performance measurement,6005F-6045F,Temporary codes,F,7010,15,5,50
5554934,3,0001F-7025F,Performance measurement,7010F-7025F,Patient management,F,7010,6933,4,39
16741923,2,0001F-7025F,Performance measurement,0001F-0015F,Patient history,F,7010,15,3,53
16058717,2,0016T-0207T,Performance measurement,0256T-0259T,Composite measures,F,6770,15,4,94
359651,2,0001F-7025F,Performance measurement,4000F-4306F,Physical examination,F,4866,15,4,16
1492249,2,0256T-0259T,Performance measurement,1000F-1220F,Physical examination,F,7010,229,4,81
16534010,2,0001F-7025F,Performance measurement,1000F-1220F,Patient history,F,7010,15,5,93
13712458,2,0001F-7025F,Performance measurement,3006F-3573F,"Therapeutic, preventive or other interventions",F,5196,2760,4,16
2259776,2,0001F-7025F,Performance measurement,7010F-7025F,Diagnostic/screening processes or results,T,7010,5026,3,16
6698920,3,0016T-0207T,Performance measurement,2000F-2050F,"Therapeutic, preventive or other interventions",T,7010,384,5,16
5866254,2,0001F-7025F,Performance measurement,0500F-0575F,Follow-up or other outcomes,F,1,15,4,16
13043665,2,0001F-7025F,Performance measurement,0256T-0259T,Temporary codes,F,7010,15,4,16
13114857,2,0001F-7025F,Performance measurement,0001F-0015F,Temporary codes,F,7010,15,4,46
4774990,2,0256T-0259T,Emerging technology,0256T-0259T,Composite measures,F,7010,2701,4,16
145478,2,0001F-7025F,Performance measurement,2000F-2050F,Patient safety,F,168,15,4,17
4765158,2,0001F-7025F,Performance measurement,5005F-5100F,Structural Measures,F,7010,15,4,16
6838081,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,7010,1840,4,16
2025182,2,0001F-7025F,Performance measurement,0001F-0015F,Temporary codes,F,4910,15,4,60
8834481,2,0016T-0207T,Performance measurement,2000F-2050F,Patient history,F,2552,15,3,38
10181074,2,0001F-7025F,Performance measurement,7010F-7025F,Physical examination,F,7010,2080,3,16
11496145,2,0001F-7025F,Performance measurement,0001F-0015F,"Therapeutic, preventive or other interventions",F,4405,15,5,89
4572225,2,0001F-7025F,Performance measurement,1000F-1220F,Physical examination,F,7010,15,5,36
16681350,2,0001F-7025F,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,F,7010,15,4,16
11740600,2,0001F-7025F,Performance measurement,0256T-0259T,"Therapeutic, preventive or other interventions",T,7010,15,4,84
4421272,2,0001F-7025F,Performance measurement,0001F-0015F,Composite measures,F,2601,477,5,16
3682012,2,0001F-7025F,Performance measurement,0001F-0015F,Physical examination,T,7010,2237,3,16
4295658,2,0001F-7025F,Performance measurement,6005F-6045F,Temporary codes,F,1,2360,4,54
10504993,2,0001F-7025F,Performance measurement,1000F-1220F,Patient management,T,4628,15,4,99
2715939,2,0001F-7025F,Performance measurement,2000F-2050F,Physical examination,T,869,15,4,16
9219727,2,0016T-0207T,Performance measurement,0500F-0575F,Temporary codes,F,7010,15,3,18
16321005,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,6888,5683,4,39
4409405,2,0256T-0259T,Performance measurement,4000F-4306F,Patient safety,F,7010,15,5,53
9272071,2,0001F-7025F,Performance measurement,4000F-4306F,"Therapeutic, preventive or other interventions",F,6197,57,4,53
5522265,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,7010,15,4,116
662958,2,0001F-7025F,Performance measurement,3006F-3573F,Diagnostic/screening processes or results,F,7010,15,5,52
13290604,2,0001F-7025F,Performance measurement,0016T-0207T,Patient history,F,7010,3692,4,22
6165607,2,0256T-0259T,Performance measurement,4000F-4306F,Physical examination,T,7010,3745,3,56
9556699,2,0001F-7025F,Emerging technology,0500F-0575F,Patient history,T,5363,15,1,16
2860104,2,0256T-0259T,Performance measurement,4000F-4306F,Diagnostic/screening processes or results,F,4825,15,4,36
12349357,2,0016T-0207T,Performance measurement,5005F-5100F,Physical examination,F,5480,15,4,41
7619473,2,0001F-7025F,Performance measurement,0500F-0575F,Physical examination,F,7010,3600,4,16
16250976,3,0001F-7025F,Performance measurement,1000F-1220F,Temporary codes,F,6230,15,4,122
3295761,2,0001F-7025F,Performance measurement,4000F-4306F,Temporary codes,F,4059,3498,4,16
10246584,2,0001F-7025F,Performance measurement,4000F-4306F,Temporary codes,T,4376,15,3,16
1139750,2,0001F-7025F,Emerging technology,0001F-0015F,Follow-up or other outcomes,F,7010,206,3,16
9343974,2,0001F-7025F,Performance measurement,7010F-7025F,Composite measures,F,3257,15,5,16
14134903,2,0001F-7025F,Performance measurement,0001F-0015F,Structural Measures,F,2117,2693,4,16
12185379,2,0016T-0207T,Emerging technology,0500F-0575F,Patient history,F,7010,4228,4,72
5648262,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,7010,811,4,73
15520896,2,0256T-0259T,Performance measurement,0256T-0259T,Temporary codes,F,7010,443,3,21
8311667,2,0256T-0259T,Performance measurement,0016T-0207T,Composite measures,F,7010,2358,5,18
10723899,2,0001F-7025F,Performance measurement,1000F-1220F,Temporary codes,T,5027,2431,4,21
10648798,2,0256T-0259T,Emerging technology,0500F-0575F,Temporary codes,F,7010,15,5,16
3474565,2,0001F-7025F,Performance measurement,4000F-4306F,Patient history,F,4087,15,3,16
13104972,2,0001F-7025F,Performance measurement,0500F-0575F,Follow-up or other outcomes,T,7010,15,4,62
3775232,2,0001F-7025F,Emerging technology,3006F-3573F,Patient management,F,7010,15,5,16
9800409,2,0001F-7025F,Performance measurement,4000F-4306F,Diagnostic/screening processes or results,T,7010,15,4,19
951060,2,0001F-7025F,Performance measurement,0256T-0259T,Patient safety,F,4128,15,4,64
8324728,2,0001F-7025F,Performance measurement,0500F-0575F,Composite measures,F,7010,15,4,20
15039928,2,0001F-7025F,Performance measurement,1000F-1220F,Physical examination,F,7010,2659,4,16
10125044,2,0001F-7025F,Performance measurement,7010F-7025F,Composite measures,F,4288,15,3,72
8297489,2,0001F-7025F,Performance measurement,0500F-0575F,Patient management,F,7010,32,5,73
6868677,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,2078,15,3,47
549980,2,0001F-7025F,Performance measurement,0256T-0259T,Structural Measures,T,2233,15,3,29
16319206,2,0001F-7025F,Performance measurement,0256T-0259T,Patient management,F,6304,298,5,16
10019765,2,0001F-7025F,Emerging technology,0016T-0207T,Diagnostic/screening processes or results,F,2037,15,4,29
7361932,2,0001F-7025F,Performance measurement,0500F-0575F,Patient history,F,1578,15,5,16
4477326,2,0001F-7025F,Performance measurement,1000F-1220F,Temporary codes,F,7010,1091,3,16
7290782,2,0001F-7025F,Performance measurement,4000F-4306F,Patient safety,T,7010,307,3,37
209828,2,0001F-7025F,Performance measurement,0500F-0575F,Temporary codes,F,3583,15,4,40
13718335,2,0001F-7025F,Performance measurement,0016T-0207T,Patient history,F,2822,15,3,79
5409133,2,0256T-0259T,Performance measurement,5005F-5100F,Patient history,F,4596,15,4,57
6344628,3,0001F-7025F,Emerging technology,0256T-0259T,Temporary codes,F,1,15,4,87
8608292,2,0001F-7025F,Performance measurement,0500F-0575F,Temporary codes,F,7010,3837,3,20
226653,2,0001F-7025F,Performance measurement,0500F-0575F,Temporary codes,F,1836,15,4,16
8026596,2,0001F-7025F,Emerging technology,0500F-0575F,Temporary codes,F,7010,15,4,45
8868743,2,0001F-7025F,Emerging technology,0500F-0575F,Structural Measures,F,7010,2776,5,16
11884098,2,0256T-0259T,Emerging technology,4000F-4306F,Temporary codes,F,7010,15,2,16
10871365,2,0001F-7025F,Performance measurement,7010F-7025F,Temporary codes,F,1,2822,4,16
3324925,2,0001F-7025F,Performance measurement,2000F-2050F,Patient safety,F,7010,4955,3,103
4993024,2,0001F-7025F,Performance measurement,0500F-0575F,Composite measures,F,7010,15,5,50
7430763,2,0001F-7025F,Performance measurement,0016T-0207T,Temporary codes,F,1868,15,3,16
11295619,2,0001F-7025F,Performance measurement,0016T-0207T,Diagnostic/screening processes or results,F,4653,15,4,16
728500,2,0001F-7025F,Performance measurement,2000F-2050F,Patient safety,F,7010,5328,4,70
494873,2,0001F-7025F,Performance measurement,0500F-0575F,Patient management,T,5174,15,4,16
129583,2,0001F-7025F,Performance measurement,0500F-0575F,Patient history,F,2714,15,5,16
6337920,2,0001F-7025F,Performance measurement,0500F-0575F,Composite measures,F,7010,711,4,84
10147386,2,0256T-0259T,Performance measurement,0001F-0015F,Patient management,F,7010,2228,4,97
14367523,2,0001F-7025F,Performance measurement,3006F-3573F,Follow-up or other outcomes,T,4382,15,5,107
5825489,2,0001F-7025F,Emerging technology,1000F-1220F,Physical examination,T,4706,15,4,45
14043535,2,0001F-7025F,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,F,3270,15,4,16
4902771,2,0001F-7025F,Performance measurement,0256T-0259T,Physical examination,F,1389,525,5,74
11969352,2,0001F-7025F,Emerging technology,0001F-0015F,Patient history,F,7010,1118,4,47
1170250,2,0001F-7025F,Performance measurement,3006F-3573F,Physical examination,T,7010,15,4,16
15387130,2,0001F-7025F,Performance measurement,4000F-4306F,Temporary codes,F,3468,15,4,63
1946224,2,0016T-0207T,Performance measurement,0500F-0575F,Temporary codes,F,7010,15,4,46
4982542,3,0256T-0259T,Emerging technology,0016T-0207T,Structural Measures,T,1514,2802,3,16
14931766,2,0256T-0259T,Performance measurement,2000F-2050F,Patient history,F,7010,7025,1,16
3951060,2,0001F-7025F,Performance measurement,4000F-4306F,Temporary codes,F,6752,30,4,105
1492039,3,0001F-7025F,Performance measurement,0256T-0259T,Patient management,F,891,6210,4,19
3860807,2,0001F-7025F,Emerging technology,0256T-0259T,Follow-up or other outcomes,F,4643,15,4,16
6061951,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,2277,1293,5,16
9194174,2,0001F-7025F,Emerging technology,0256T-0259T,Diagnostic/screening processes or results,F,7010,15,5,16
1652541,2,0001F-7025F,Emerging technology,6005F-6045F,Diagnostic/screening processes or results,F,7010,206,3,45
11755052,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,7010,4523,5,16
4044805,2,0001F-7025F,Performance measurement,6005F-6045F,Patient safety,F,3518,15,3,55
10027455,2,0001F-7025F,Performance measurement,0016T-0207T,Physical examination,T,7010,15,3,16
5711636,2,0001F-7025F,Performance measurement,0001F-0015F,Follow-up or other outcomes,F,1244,15,4,80
16623500,2,0256T-0259T,Performance measurement,0001F-0015F,Composite measures,F,5910,15,4,16
6705416,2,0001F-7025F,Performance measurement,3006F-3573F,Structural Measures,T,7010,1546,1,16
15996138,2,0001F-7025F,Performance measurement,6005F-6045F,Diagnostic/screening processes or results,T,7010,15,1,53
4703514,2,0016T-0207T,Performance measurement,3006F-3573F,Patient history,F,7010,15,4,16
13503310,2,0001F-7025F,Performance measurement,1000F-1220F,Temporary codes,F,3475,15,4,16
9177610,2,0001F-7025F,Performance measurement,0016T-0207T,Physical examination,T,20,15,5,16
16111893,2,0001F-7025F,Performance measurement,0016T-0207T,Patient safety,F,2383,117,4,90
6898564,2,0001F-7025F,Performance measurement,1000F-1220F,Diagnostic/screening processes or results,F,2494,15,5,122
16709777,2,0001F-7025F,Performance measurement,0256T-0259T,Structural Measures,F,906,15,4,16
233255,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,7010,15,5,16
10705849,2,0001F-7025F,Performance measurement,0016T-0207T,Composite measures,F,7010,15,4,16
4949039,2,0001F-7025F,Performance measurement,0500F-0575F,"Therapeutic, preventive or other interventions",F,4713,15,1,35
12390095,2,0256T-0259T,Performance measurement,7010F-7025F,Patient history,F,7010,15,4,28
9205262,2,0001F-7025F,Performance measurement,0500F-0575F,Patient management,F,7010,15,4,22
7225267,2,0016T-0207T,Performance measurement,2000F-2050F,Composite measures,T,5403,1757,4,16
1483709,2,0001F-7025F,Emerging technology,1000F-1220F,Physical examination,F,7010,15,5,16
10590819,2,0001F-7025F,Performance measurement,3006F-3573F,Physical examination,T,7010,15,4,16
1793985,2,0001F-7025F,Performance measurement,3006F-3573F,Patient history,F,7010,1328,4,16
9600648,2,0001F-7025F,Performance measurement,6005F-6045F,Structural Measures,F,7010,15,3,49
8224841,2,0001F-7025F,Performance measurement,7010F-7025F,Diagnostic/screening processes or results,T,7010,15,4,38
8404066,2,0001F-7025F,Performance measurement,7010F-7025F,Physical examination,F,6964,15,4,52
16635192,2,0001F-7025F,Performance measurement,4000F-4306F,Physical examination,F,7010,15,5,16
15994175,2,0001F-7025F,Performance measurement,0001F-0015F,Follow-up or other outcomes,F,7010,5410,4,16
11511201,2,0256T-0259T,Performance measurement,2000F-2050F,Patient management,F,7010,5660,4,59
11996087,2,0001F-7025F,Emerging technology,0001F-0015F,Diagnostic/screening processes or results,T,7010,127,1,16
13462410,2,0001F-7025F,Performance measurement,0500F-0575F,Diagnostic/screening processes or results,F,6935,15,5,16
14847276,2,0001F-7025F,Performance measurement,0500F-0575F,Temporary codes,T,7010,15,3,73
9583823,2,0001F-7025F,Performance measurement,2000F-2050F,Patient management,F,7010,5556,4,16
8141668,2,0001F-7025F,Performance measurement,4000F-4306F,Composite measures,F,6606,15,5,32
3105883,2,0001F-7025F,Performance measurement,1000F-1220F,Follow-up or other outcomes,F,3647,451,5,102
4322649,2,0001F-7025F,Performance measurement,7010F-7025F,Composite measures,F,6006,15,4,62
5308584,2,0001F-7025F,Emerging technology,5005F-5100F,Follow-up or other outcomes,F,7010,2005,5,16
1909698,2,0256T-0259T,Performance measurement,5005F-5100F,Structural Measures,F,5232,15,4,21
2326007,2,0016T-0207T,Performance measurement,2000F-2050F,Temporary codes,F,7010,15,3,51
9472343,2,0001F-7025F,Performance measurement,7010F-7025F,Temporary codes,F,5341,15,4,16
9179277,2,0001F-7025F,Performance measurement,1000F-1220F,Diagnostic/screening processes or results,T,2076,15,4,16
16652544,2,0001F-7025F,Performance measurement,0500F-0575F,Patient safety,F,7010,3021,4,48
8777292,2,0001F-7025F,Performance measurement,7010F-7025F,Patient history,F,7010,63,2,60
